circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
53cebeb569,3,forest,0,124.6,36.9257,0.0,0.1528,0.0506,0.6654,0.0,0.1482,0.5472,0.0,0.1497,0.1669,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,1,395.6,36.9257,0.511,0.2711,0.0,1.0,0.0,0.2711,0.6355,0.0,0.0,0.0,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,2,721.6,36.9257,0.8689,0.17,0.8218,1.0,0.7877,0.0862,0.1042,0.0,0.9065,0.0,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,3,403.6,36.9257,0.2285,0.3714,0.869,0.2263,0.213,0.1777,0.0898,0.0,0.211,0.065,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,4,325.5,36.9257,0.0,0.0,0.0,0.0847,0.0,0.0,0.5,0.0,0.0,0.4577,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,5,531.9,36.9257,0.1098,0.0,0.0,0.838,0.0,0.0,0.5,0.0,0.0,0.081,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,6,404.0,36.9257,0.8111,0.1297,0.3767,1.0,0.4978,0.1004,0.3521,0.0,0.6137,0.0,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,7,507.4,36.9257,0.4665,0.2303,0.8192,1.0,0.4222,0.1171,0.1112,0.0,0.9051,0.0,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,8,535.0,36.9257,1.0,0.1848,0.4916,1.0,0.7012,0.1303,0.3012,0.0,0.7012,0.0,0.8702,0.1501,0.3498,0.5317
53cebeb569,3,forest,9,650.9,36.9257,0.4339,0.155,0.174,1.0,0.181,0.1388,0.477,0.0,0.4171,0.0,0.8702,0.1501,0.3498,0.5317
8c38b606c9,3,forest,0,662.0,12.446,1.0,0.2044,0.1352,1.0,0.3677,0.1878,0.5208,0.0,0.3677,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,1,698.7,12.446,1.0,0.125,0.0397,1.0,0.1993,0.122,0.5402,0.0,0.1993,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,2,147.9,12.446,0.1364,0.1352,0.1181,1.0,0.0469,0.1256,0.5006,0.0,0.3437,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,3,538.1,12.446,1.0,0.1425,0.9984,1.0,0.9992,0.0571,0.0009,0.0,0.9992,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,4,626.4,12.446,1.0,0.1602,0.8842,1.0,0.9403,0.0752,0.0672,0.0,0.9403,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,5,442.0,12.446,0.0686,0.095,0.3214,1.0,0.0389,0.0767,0.3715,0.0,0.5669,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,6,424.7,12.446,0.0,0.0,0.0,0.2017,0.0,0.0,0.5,0.0,0.0,0.3991,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,7,286.4,12.446,0.0339,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,8,403.7,12.446,0.3262,0.1171,0.6393,1.0,0.2608,0.0722,0.2015,0.0,0.7995,0.0,0.8702,0.1494,0.359,0.5701
8c38b606c9,3,forest,9,367.9,12.446,0.8142,0.2672,0.0002,1.0,0.0112,0.2672,0.6335,0.0,0.0138,0.0,0.8702,0.1494,0.359,0.5701
d783964afd,3,forest,0,419.9,3.2394,0.9688,0.2011,0.9447,1.0,0.9416,0.0871,0.0332,0.0,0.9719,0.0,0.8702,0.2503,0.5215,0.6407
