map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h,n_unique_tags
cerisy,853135ef0b,3,forest,0,445.9,45.102,0.9819,0.2226,0.8579,0.6629,0.9095,0.108,0.0868,0.0,0.614,0.0013,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,1,432.9,45.102,0.1704,0.0681,0.0,0.8689,0.0,0.0681,0.5341,0.0,0.0,0.0661,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,2,425.6,45.102,0.5463,0.1445,0.995,0.3709,0.545,0.0582,0.0029,0.0,0.37,0.0012,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,3,507.9,45.102,0.1103,0.0,0.0,0.3855,0.0,0.0,0.5,0.0,0.0,0.3072,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,4,331.7,45.102,0.0,0.0,0.3733,0.0775,0.0,0.0,0.3134,0.0,0.0473,0.2891,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,5,152.4,45.102,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,6,143.6,45.102,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,7,849.2,45.102,0.0,0.0,0.0,0.2376,0.0,0.0,0.5,0.0,0.0,0.3812,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,8,360.2,45.102,0.0,0.0,0.0,0.1893,0.0,0.0,0.5,0.0,0.0,0.4053,0.8702,0.2501,0.6795,0.53,3
cerisy,853135ef0b,3,forest,9,1350.8,45.102,1.0,0.2869,0.0,1.0,0.0,0.2869,0.6434,0.0,0.0,0.0,0.8702,0.2501,0.6795,0.53,3
cerisy,e8e67f7c95,3,forest,0,341.1,45.5714,0.7916,0.3044,1.0,0.3027,0.7916,0.1218,0.0,0.0,0.3027,0.0,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,1,545.0,45.5714,0.924,0.2672,0.9999,0.7068,0.9239,0.1069,0.0,0.0,0.7068,0.0,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,2,273.9,45.5714,0.0,0.0936,0.0,0.153,0.0,0.0936,0.5468,0.0,0.0,0.4571,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,3,531.6,45.5714,1.0,0.1034,1.0,0.2367,1.0,0.0414,0.0,0.0,0.2367,0.0,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,4,719.9,45.5714,1.0,0.3486,0.6424,1.0,0.8015,0.2142,0.2412,0.0,0.8015,0.0,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,5,758.8,45.5714,0.252,0.3473,0.5953,0.8981,0.1944,0.2233,0.2726,0.0,0.693,0.0213,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,6,239.1,45.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,7,494.2,45.5714,0.1107,0.3665,0.0,0.4742,0.0,0.3665,0.6832,0.0,0.0,0.3135,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,8,133.6,45.5714,0.0,0.0,0.0,0.1795,0.0,0.0,0.5,0.0,0.0,0.4102,0.8702,0.2501,0.4946,0.491,4
cerisy,e8e67f7c95,3,forest,9,963.3,45.5714,1.0,0.2308,1.0,0.905,1.0,0.0923,0.0,0.0,0.905,0.0,0.8702,0.2501,0.4946,0.491,4
cerisy,abf2a30bd6,3,forest,0,372.2,7.1592,0.6417,0.139,0.041,0.6555,0.1299,0.1356,0.5462,0.0,0.1327,0.1731,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,1,412.4,7.1592,0.1284,0.1597,0.9927,0.6834,0.1279,0.0646,0.0042,0.0,0.681,0.0012,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,2,336.9,7.1592,0.2207,0.2299,0.0,0.4752,0.0,0.2299,0.6149,0.0,0.0,0.294,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,3,368.2,7.1592,0.8987,0.4232,1.0,0.5153,0.8987,0.1693,0.0,0.0,0.5153,0.0,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,4,569.7,7.1592,1.0,0.3609,0.4141,0.6916,0.6435,0.2712,0.3987,0.0,0.445,0.0,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,5,238.7,7.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,6,1000.2,7.1592,0.4866,0.2205,0.0,1.0,0.0,0.2205,0.6103,0.0,0.0,0.0,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,7,229.9,7.1592,0.9656,0.0,0.353,1.0,0.5737,0.0,0.3235,0.0,0.5941,0.0,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,8,408.0,7.1592,0.4253,0.3468,0.0349,1.0,0.0794,0.3396,0.6499,0.0,0.1868,0.0,0.8702,0.149,0.4776,0.5133,5
cerisy,abf2a30bd6,3,forest,9,659.8,7.1592,0.3495,0.1043,0.6681,0.7664,0.2856,0.0625,0.1833,0.0,0.6264,0.0397,0.8702,0.149,0.4776,0.5133,5
cerisy,d6ff472fb6,3,forest,0,540.3,55.7345,0.5085,0.0634,0.9727,0.6698,0.5016,0.0264,0.0145,0.0,0.6606,0.0046,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,1,320.7,55.7345,1.0,0.1363,0.0,0.4678,0.0,0.1363,0.5681,0.0,0.0,0.0,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,2,349.7,55.7345,0.0,0.0,0.0003,0.5895,0.0,0.0,0.4998,0.0,0.0105,0.2052,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,3,283.0,55.7345,1.0,0.4118,0.0471,0.7919,0.217,0.4001,0.6726,0.0,0.1719,0.0,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,4,595.1,55.7345,0.621,0.3906,0.0,1.0,0.0,0.3906,0.6953,0.0,0.0,0.0,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,5,477.6,55.7345,0.0834,0.1928,0.2536,0.4647,0.042,0.1635,0.4452,0.0,0.234,0.2204,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,6,232.5,55.7345,0.0,0.0,0.0,0.0803,0.0,0.0,0.5,0.0,0.0,0.4599,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,7,269.4,55.7345,0.6956,0.2211,0.0,1.0,0.0,0.2211,0.6106,0.0,0.0,0.0,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,8,358.0,55.7345,0.6865,0.1611,0.9997,0.4924,0.6864,0.0645,0.0002,0.0,0.4923,0.0,0.8702,0.0009,0.3186,0.5088,4
cerisy,d6ff472fb6,3,forest,9,570.0,55.7345,1.0,0.3291,0.9999,0.7384,1.0,0.1317,0.0001,0.0,0.7384,0.0,0.8702,0.0009,0.3186,0.5088,4
cerisy,c62ce39fe5,3,forest,0,614.0,50.5936,1.0,0.1627,0.8914,0.7364,0.9441,0.0757,0.0631,0.0,0.6953,0.0,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,1,392.4,50.5936,0.1181,0.1933,0.0,1.0,0.0,0.1933,0.5966,0.0,0.0,0.0,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,2,296.9,50.5936,0.5731,0.047,0.0016,1.0,0.0231,0.047,0.5227,0.0,0.0403,0.0,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,3,523.4,50.5936,0.9657,0.1995,0.96,0.6327,0.9462,0.0846,0.024,0.0,0.6199,0.0007,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,4,660.0,50.5936,1.0,0.0523,0.5014,1.0,0.7081,0.0366,0.2623,0.0,0.7081,0.0,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,5,292.7,50.5936,0.5974,0.2763,0.0521,0.1555,0.1364,0.2676,0.6049,0.0,0.0355,0.212,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,6,377.8,50.5936,1.0,0.2026,0.5872,0.7668,0.7663,0.1312,0.2482,0.0,0.5876,0.0,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,7,371.4,50.5936,0.9804,0.1955,0.1568,0.996,0.3882,0.1771,0.504,0.0,0.3944,0.0017,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,8,400.9,50.5936,0.8241,0.1835,0.0,0.4379,0.0,0.1835,0.5917,0.0,0.0,0.0908,0.8702,0.15,0.299,0.696,3
cerisy,c62ce39fe5,3,forest,9,670.3,50.5936,0.9321,0.2118,0.9634,0.9291,0.9149,0.0894,0.0222,0.0,0.9119,0.0013,0.8702,0.15,0.299,0.696,3
cerisy,396349ad31,3,forest,0,447.1,51.9931,0.9711,0.2074,0.1018,0.4181,0.3098,0.1947,0.5423,0.0,0.1334,0.0131,0.8702,0.1492,0.4626,0.581,4
cerisy,396349ad31,3,forest,1,416.1,51.9931,0.5858,0.2841,0.0437,0.2487,0.1224,0.2766,0.614,0.0,0.052,0.2214,0.8702,0.1492,0.4626,0.581,4
cerisy,396349ad31,3,forest,2,619.8,51.9931,1.0,0.1596,0.9927,1.0,0.9964,0.0645,0.0042,0.0,0.9964,0.0,0.8702,0.1492,0.4626,0.581,4
