map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h,n_unique_tags
feuguerolles,54297b232a,3,forest,0,554.3,46.2071,0.0773,0.1278,1.0,0.9804,0.0773,0.0511,0.0,0.0,0.9804,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,1,319.6,46.2071,0.0826,0.1059,0.0,0.9551,0.0,0.1059,0.553,0.0,0.0,0.0225,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,2,606.4,46.2071,0.3376,0.3024,0.0,1.0,0.0,0.3024,0.6512,0.0,0.0,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,3,327.4,46.2071,0.0,0.1543,0.0,0.8336,0.0,0.1543,0.5771,0.0,0.0,0.0853,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,4,794.3,46.2071,0.0562,0.0847,0.0,1.0,0.0,0.0847,0.5423,0.0,0.0,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,5,600.6,46.2071,0.6015,0.1327,0.0,1.0,0.0,0.1327,0.5664,0.0,0.0,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,6,405.3,46.2071,0.5929,0.1615,0.0234,1.0,0.0906,0.1593,0.5672,0.0,0.1528,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,7,80.8,46.2071,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,8,423.4,46.2071,0.672,0.083,0.0,1.0,0.0,0.083,0.5415,0.0,0.0,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,54297b232a,3,forest,9,392.8,46.2071,0.6542,0.0,1.0,0.948,0.6542,0.0,0.0,0.0,0.948,0.0,0.8702,0.1263,0.4158,0.4222,3
feuguerolles,648c9ba066,3,forest,0,306.2,65.8132,0.0,0.0,0.0059,1.0,0.0,0.0,0.4971,0.0,0.0767,0.0,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,1,391.6,65.8132,0.0631,0.0337,0.0,1.0,0.0,0.0337,0.5169,0.0,0.0,0.0,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,2,403.5,65.8132,0.0634,0.1333,0.6033,0.6189,0.0493,0.085,0.2248,0.0,0.4807,0.0794,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,3,293.8,65.8132,0.0,0.0,0.0,0.471,0.0,0.0,0.5,0.0,0.0,0.2645,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,4,223.9,65.8132,0.0013,0.2065,0.8847,0.8972,0.0012,0.0969,0.0696,0.0,0.8439,0.0061,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,5,514.0,65.8132,0.044,0.0,0.5705,0.3834,0.0333,0.0,0.2148,0.0,0.2896,0.1324,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,6,509.4,65.8132,0.0,0.0,1.0,0.098,0.0,0.0,0.0,0.0,0.098,0.0,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,7,465.2,65.8132,0.0,0.0,0.0,0.1024,0.0,0.0,0.5,0.0,0.0,0.4488,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,8,684.7,65.8132,0.0082,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,648c9ba066,3,forest,9,805.1,65.8132,0.0043,0.0092,0.9982,1.0,0.0043,0.0037,0.0009,0.0,0.9991,0.0,0.8702,0.1494,0.3704,0.5681,3
feuguerolles,5afc11f009,3,forest,0,263.9,56.8868,0.0,0.011,0.0352,1.0,0.0,0.0108,0.4877,0.0,0.1877,0.0,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,1,191.0,56.8868,0.0,0.0,0.1807,0.0351,0.0,0.0,0.4096,0.0,0.0149,0.3953,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,2,424.1,56.8868,0.0781,0.0,1.0,1.0,0.0781,0.0,0.0,0.0,1.0,0.0,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,3,475.3,56.8868,0.0994,0.0239,0.5433,1.0,0.0732,0.0161,0.2338,0.0,0.7371,0.0,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,4,419.8,56.8868,0.0,0.0,0.0,0.2445,0.0,0.0,0.5,0.0,0.0,0.3778,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,5,413.4,56.8868,0.0,0.0,0.0,0.2185,0.0,0.0,0.5,0.0,0.0,0.3908,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,6,186.1,56.8868,0.0,0.0,0.0,0.4307,0.0,0.0,0.5,0.0,0.0,0.2847,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,7,1158.3,56.8868,0.1362,0.2773,0.6589,1.0,0.1105,0.1677,0.2179,0.0,0.8117,0.0,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,8,1167.6,56.8868,0.5813,0.127,0.0511,1.0,0.1313,0.1232,0.5348,0.0,0.2259,0.0,0.8702,0.25,0.6896,0.6771,4
feuguerolles,5afc11f009,3,forest,9,300.8,56.8868,0.0,0.1063,0.0619,1.0,0.0,0.1024,0.5189,0.0,0.2487,0.0,0.8702,0.25,0.6896,0.6771,4
feuguerolles,175aac100e,3,forest,0,212.4,46.5329,0.0,0.0283,0.2622,1.0,0.0,0.0239,0.3794,0.0,0.512,0.0,0.8702,0.15,0.4952,0.4352,3
feuguerolles,175aac100e,3,forest,1,373.3,46.5329,0.0,0.2365,0.8806,1.0,0.0,0.1115,0.0738,0.0,0.9384,0.0,0.8702,0.15,0.4952,0.4352,3
feuguerolles,175aac100e,3,forest,2,394.1,46.5329,0.5573,0.3119,0.9508,1.0,0.5434,0.134,0.0323,0.0,0.9751,0.0,0.8702,0.15,0.4952,0.4352,3
feuguerolles,175aac100e,3,forest,3,590.0,46.5329,0.2429,0.0565,1.0,1.0,0.2429,0.0226,0.0,0.0,1.0,0.0,0.8702,0.15,0.4952,0.4352,3
feuguerolles,175aac100e,3,forest,4,551.1,46.5329,0.2674,0.1671,0.044,1.0,0.0561,0.1627,0.5579,0.0,0.2098,0.0,0.8702,0.15,0.4952,0.4352,3
feuguerolles,175aac100e,3,forest,5,226.5,46.5329,0.0,0.0,0.0,0.4958,0.0,0.0,0.5,0.0,0.0,0.2521,0.8702,0.15,0.4952,0.4352,3
feuguerolles,175aac100e,3,forest,6,1048.9,46.5329,0.6067,0.0791,0.9999,1.0,0.6066,0.0316,0.0,0.0,1.0,0.0,0.8702,0.15,0.4952,0.4352,3
