map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h,n_unique_tags
montmirel,790c0c1514,3,forest,0,654.4,24.1621,1.0,0.098,0.024,1.0,0.155,0.0966,0.5358,0.0,0.155,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,1,296.9,24.1621,0.004,0.205,0.6924,1.0,0.0033,0.1198,0.1853,0.0,0.8321,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,2,304.1,24.1621,0.4863,0.0,0.1548,1.0,0.1913,0.0,0.4226,0.0,0.3934,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,3,579.8,24.1621,0.9701,0.2501,0.0431,1.0,0.2014,0.2437,0.5981,0.0,0.2077,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,4,263.7,24.1621,0.3902,0.0393,0.9786,1.0,0.386,0.0162,0.0111,0.0,0.9893,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,5,386.5,24.1621,1.0,0.2376,0.1127,1.0,0.3356,0.2216,0.5491,0.0,0.3356,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,6,482.3,24.1621,0.8768,0.2626,0.0576,1.0,0.2104,0.2535,0.595,0.0,0.2399,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,7,793.0,24.1621,0.8226,0.0978,0.1036,1.0,0.2648,0.0917,0.492,0.0,0.3219,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,8,231.8,24.1621,0.3724,0.0961,0.9997,1.0,0.3724,0.0385,0.0002,0.0,0.9999,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,790c0c1514,3,forest,9,1009.0,24.1621,1.0,0.062,0.6167,1.0,0.7853,0.039,0.2035,0.0,0.7853,0.0,0.8702,0.2504,0.488,0.4954,2
montmirel,1ba6b35c61,3,forest,0,359.2,32.4378,1.0,0.0436,0.9922,1.0,0.9961,0.0176,0.0041,0.0,0.9961,0.0,0.8702,0.1162,0.4159,0.5308,4
montmirel,1ba6b35c61,3,forest,1,251.7,32.4378,0.3436,0.1491,0.9638,1.0,0.3373,0.0629,0.0208,0.0,0.9817,0.0,0.8702,0.1162,0.4159,0.5308,4
montmirel,1ba6b35c61,3,forest,2,454.7,32.4378,0.9458,0.193,0.0119,1.0,0.103,0.1917,0.5894,0.0,0.1089,0.0,0.8702,0.1162,0.4159,0.5308,4
montmirel,1ba6b35c61,3,forest,3,768.7,32.4378,1.0,0.0526,0.5064,1.0,0.7116,0.0366,0.2598,0.0,0.7116,0.0,0.8702,0.1162,0.4159,0.5308,4
montmirel,1ba6b35c61,3,forest,4,358.6,32.4378,0.8929,0.5566,0.9872,1.0,0.8872,0.2269,0.0099,0.0,0.9936,0.0,0.8702,0.1162,0.4159,0.5308,4
