map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
stanne,311cae500b,3,forest,0,261.8,11.7386,0.392,0.0631,0.0236,1.0,0.0602,0.0622,0.519,0.0,0.1535,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,1,110.3,11.7386,0.0,0.0857,0.5303,1.0,0.0,0.0584,0.255,0.0,0.7282,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,2,445.3,11.7386,0.0672,0.0873,0.002,1.0,0.003,0.0872,0.5426,0.0,0.0442,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,3,1036.5,11.7386,1.0,0.2052,0.9962,1.0,0.9981,0.0825,0.0023,0.0,0.9981,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,4,332.7,11.7386,0.0,0.0,0.0303,1.0,0.0,0.0,0.4848,0.0,0.1742,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,5,544.6,11.7386,0.3899,0.2294,0.0,1.0,0.0,0.2294,0.6147,0.0,0.0,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,6,684.9,11.7386,1.0,0.2227,0.9807,1.0,0.9903,0.0917,0.0118,0.0,0.9903,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,7,375.5,11.7386,1.0,0.0981,0.5645,1.0,0.7513,0.0649,0.2391,0.0,0.7513,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,8,246.7,11.7386,0.3952,0.0503,0.0625,1.0,0.0988,0.0484,0.4923,0.0,0.25,0.0,0.8702,0.1504,0.546,0.6966
stanne,311cae500b,3,forest,9,563.4,11.7386,1.0,0.1967,0.5542,1.0,0.7444,0.1313,0.2668,0.0,0.7444,0.0,0.8702,0.1504,0.546,0.6966
stanne,a7538609d9,3,forest,0,413.7,41.0362,0.8068,0.1729,0.6123,1.0,0.6313,0.1094,0.2274,0.0,0.7825,0.0,0.8702,0.2506,0.355,0.4986
stanne,a7538609d9,3,forest,1,341.8,41.0362,0.7734,0.1216,0.9593,1.0,0.7575,0.0516,0.0229,0.0,0.9794,0.0,0.8702,0.2506,0.355,0.4986
