map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
crohot,7f85fda458,5,forest,0,1005.4,32.0068,0.3698,0.2115,0.025,1.0,0.0585,0.2083,0.5906,0.0,0.1582,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,1,425.6,32.0068,0.6687,0.0848,0.4218,1.0,0.4343,0.0633,0.3136,0.0,0.6495,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,2,655.4,32.0068,0.7596,0.241,0.0065,1.0,0.0613,0.2401,0.6165,0.0,0.0807,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,3,129.3,32.0068,0.0,0.0,0.0,0.0992,0.0,0.0,0.5,0.0,0.0,0.4504,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,4,167.3,32.0068,0.009,0.0,0.6322,0.7499,0.0072,0.0,0.1839,0.0,0.5962,0.046,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,5,381.0,32.0068,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,6,329.7,32.0068,0.4984,0.1188,0.0,1.0,0.0,0.1188,0.5594,0.0,0.0,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,7,548.8,32.0068,0.9351,0.1545,0.0895,1.0,0.2798,0.1462,0.5256,0.0,0.2992,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,8,292.7,32.0068,0.8615,0.2894,0.359,1.0,0.5162,0.2271,0.4132,0.0,0.5992,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,9,1108.8,32.0068,1.0,0.1793,0.07,1.0,0.2645,0.1718,0.5484,0.0,0.2645,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,10,417.8,32.0068,0.8893,0.1682,0.962,1.0,0.8722,0.0711,0.0222,0.0,0.9808,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,11,541.8,32.0068,0.9503,0.2323,0.1935,1.0,0.418,0.2053,0.497,0.0,0.4398,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,12,470.5,32.0068,0.9976,0.1705,0.3739,1.0,0.61,0.1322,0.3664,0.0,0.6114,0.0,0.8702,0.1499,0.5363,0.5681
crohot,7f85fda458,5,forest,13,470.1,32.0068,1.0,0.0,0.8658,1.0,0.9305,0.0,0.0671,0.0,0.9305,0.0,0.8702,0.1499,0.5363,0.5681
