map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
crohot,13f1a74610,5,forest,0,745.4,16.9913,0.2044,0.1359,0.004,1.0,0.013,0.1356,0.5657,0.0,0.0636,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,1,208.8,16.9913,0.0,0.0664,0.5108,1.0,0.0,0.046,0.2609,0.0,0.7147,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,2,161.9,16.9913,0.0,0.0572,0.7847,1.0,0.0,0.0303,0.1138,0.0,0.8858,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,3,849.9,16.9913,0.475,0.0939,0.0299,1.0,0.0821,0.0922,0.5306,0.0,0.1729,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,4,850.3,16.9913,0.968,0.1341,0.0,1.0,0.0,0.1341,0.567,0.0,0.0,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,5,299.3,16.9913,0.0,0.1495,0.6089,1.0,0.0,0.0949,0.2248,0.0,0.7803,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,6,381.0,16.9913,0.1372,0.1122,0.2562,1.0,0.0694,0.0949,0.4136,0.0,0.5061,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,7,820.2,16.9913,0.1638,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,8,617.6,16.9913,0.0,0.0,0.0,0.2911,0.0,0.0,0.5,0.0,0.0,0.3545,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,9,365.5,16.9913,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,10,428.3,16.9913,0.0,0.0,0.0,0.9564,0.0,0.0,0.5,0.0,0.0,0.0218,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,11,623.6,16.9913,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,12,113.1,16.9913,0.0,0.3092,0.2405,1.0,0.0,0.2646,0.4971,0.0,0.4904,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,13,898.2,16.9913,1.0,0.0866,0.618,1.0,0.7861,0.0545,0.2076,0.0,0.7861,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,14,589.5,16.9913,0.391,0.1929,0.5242,1.0,0.2831,0.1323,0.2838,0.0,0.724,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,15,450.2,16.9913,0.0,0.1987,0.0273,1.0,0.0,0.1955,0.583,0.0,0.1653,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,16,299.2,16.9913,0.0,0.0,1.0,0.9538,0.0,0.0,0.0,0.0,0.9538,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,17,561.6,16.9913,0.0374,0.1243,0.0,1.0,0.0,0.1243,0.5622,0.0,0.0,0.0,0.8702,0.0928,0.4597,0.825
crohot,13f1a74610,5,forest,18,571.9,16.9913,0.462,0.1558,0.6375,1.0,0.3689,0.0962,0.2095,0.0,0.7984,0.0,0.8702,0.0928,0.4597,0.825
crohot,1ee90943aa,5,forest,0,1115.7,48.3707,1.0,0.2102,0.5408,1.0,0.7354,0.142,0.2778,0.0,0.7354,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,1,468.0,48.3707,0.1106,0.0791,0.6688,1.0,0.0905,0.0474,0.1787,0.0,0.8178,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,2,532.7,48.3707,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,3,227.3,48.3707,0.0,0.0,0.9485,1.0,0.0,0.0,0.0258,0.0,0.9739,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,4,778.7,48.3707,0.2097,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,5,228.3,48.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,6,208.8,48.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,7,383.3,48.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,8,585.0,48.3707,0.0,0.0,0.0,0.1741,0.0,0.0,0.5,0.0,0.0,0.4129,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,9,759.8,48.3707,0.0604,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,10,536.7,48.3707,0.1415,0.0,0.8839,1.0,0.1331,0.0,0.0581,0.0,0.9401,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,11,425.3,48.3707,0.0209,0.0047,0.0,1.0,0.0,0.0047,0.5023,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,12,303.6,48.3707,0.0,0.0745,0.5499,1.0,0.0,0.0499,0.2418,0.0,0.7416,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,13,575.5,48.3707,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
crohot,1ee90943aa,5,forest,14,645.3,48.3707,0.2268,0.1902,0.0,1.0,0.0,0.1902,0.5951,0.0,0.0,0.0,0.8702,0.0933,0.4174,0.52
