map,circuit_id,leg_index,label,timestamp
airelles,287966daa1,2,suivi,2026-05-30T20:26:13.393692+00:00
airelles,206cb7cfc7,5,attaque,2026-05-30T20:26:15.981910+00:00
airelles,e3240ad0dc,9,suivi,2026-05-30T20:36:41.091696+00:00
airelles,e3240ad0dc,3,uncertain,2026-05-30T20:36:47.537771+00:00
airelles,206cb7cfc7,1,uncertain,2026-05-30T20:36:49.151753+00:00
airelles,287966daa1,2,suivi,2026-05-30T20:41:15.756758+00:00
airelles,e3240ad0dc,11,attaque,2026-05-30T20:41:27.027528+00:00
airelles,287966daa1,8,uncertain,2026-05-30T20:41:32.094504+00:00
airelles,e3240ad0dc,0,uncertain,2026-05-30T20:41:34.039175+00:00
airelles,206cb7cfc7,7,attaque,2026-05-30T20:41:37.868255+00:00
airelles,e3240ad0dc,1,uncertain,2026-05-30T20:41:39.149482+00:00
airelles,e3240ad0dc,8,uncertain,2026-05-30T20:41:40.715707+00:00
airelles,206cb7cfc7,13,attaque,2026-05-30T20:41:46.573551+00:00
airelles,287966daa1,12,attaque,2026-05-30T20:42:07.514338+00:00
airelles,e3240ad0dc,4,uncertain,2026-05-30T20:42:09.216317+00:00
airelles,287966daa1,5,uncertain,2026-05-30T20:42:10.873210+00:00
airelles,206cb7cfc7,5,uncertain,2026-05-30T20:42:56.075137+00:00
airelles,287966daa1,3,suivi,2026-05-30T20:43:01.589487+00:00
airelles,287966daa1,2,attaque,2026-05-30T20:43:17.077551+00:00
airelles,206cb7cfc7,5,uncertain,2026-05-30T20:43:23.240521+00:00
airelles,e3240ad0dc,9,attaque,2026-05-30T20:43:36.580251+00:00
airelles,287966daa1,10,uncertain,2026-05-30T20:43:38.461763+00:00
airelles,206cb7cfc7,10,uncertain,2026-05-30T20:43:40.017855+00:00
airelles,8d41d220f2,2,uncertain,2026-05-30T21:04:31.591827+00:00
airelles,0ef12ec409,5,uncertain,2026-05-30T21:04:32.602353+00:00
airelles,ca4c1f6fa8,9,suivi,2026-05-30T21:04:48.049667+00:00
airelles,ca4c1f6fa8,3,uncertain,2026-05-30T21:04:49.544992+00:00
airelles,0ef12ec409,1,suivi,2026-05-30T21:04:56.151237+00:00
airelles,ca4c1f6fa8,11,attaque,2026-05-30T21:05:05.492784+00:00
airelles,8d41d220f2,8,suivi,2026-05-30T21:05:10.889445+00:00
airelles,ca4c1f6fa8,0,attaque,2026-05-30T21:05:14.665521+00:00
airelles,0ef12ec409,7,uncertain,2026-05-30T21:05:16.741344+00:00
airelles,ca4c1f6fa8,1,attaque,2026-05-30T21:05:46.513930+00:00
airelles,ca4c1f6fa8,8,suivi,2026-05-30T21:05:51.044727+00:00
airelles,0ef12ec409,13,uncertain,2026-05-30T21:05:52.374012+00:00
airelles,8d41d220f2,12,suivi,2026-05-30T21:06:05.042251+00:00
airelles,ca4c1f6fa8,4,uncertain,2026-05-30T21:06:06.244680+00:00
airelles,8d41d220f2,5,uncertain,2026-05-30T21:06:07.682984+00:00
airelles,8d41d220f2,3,uncertain,2026-05-30T21:06:08.555787+00:00
airelles,8d41d220f2,10,suivi,2026-05-30T21:06:16.514402+00:00
airelles,0ef12ec409,10,attaque,2026-05-30T21:06:26.718700+00:00
airelles,ca4c1f6fa8,5,uncertain,2026-05-30T21:06:28.437489+00:00
airelles,ca4c1f6fa8,13,suivi,2026-05-30T21:06:38.427956+00:00
airelles,0ef12ec409,3,uncertain,2026-05-30T21:06:40.185760+00:00
airelles,ca4c1f6fa8,2,uncertain,2026-05-30T21:06:42.611877+00:00
airelles,8d41d220f2,7,suivi,2026-05-30T21:06:53.342355+00:00
airelles,8d41d220f2,1,attaque,2026-05-30T21:08:22.634621+00:00
airelles,0ef12ec409,9,suivi,2026-05-30T21:08:42.664945+00:00
airelles,0ef12ec409,6,uncertain,2026-05-30T21:08:44.432830+00:00
airelles,ca4c1f6fa8,12,attaque,2026-05-30T21:09:03.254079+00:00
airelles,0ef12ec409,8,uncertain,2026-05-30T21:09:04.963964+00:00
airelles,0ef12ec409,11,suivi,2026-05-30T21:09:23.773942+00:00
airelles,8d41d220f2,9,suivi,2026-05-30T21:09:30.603666+00:00
airelles,8d41d220f2,0,suivi,2026-05-30T21:09:36.226935+00:00
airelles,8d41d220f2,13,attaque,2026-05-30T21:09:42.202859+00:00
airelles,8d41d220f2,6,uncertain,2026-05-30T21:09:43.420610+00:00
airelles,ca4c1f6fa8,10,attaque,2026-05-30T21:09:56.904606+00:00
airelles,8d41d220f2,11,attaque,2026-05-30T21:10:08.058981+00:00
airelles,0ef12ec409,0,suivi,2026-05-30T21:10:17.922373+00:00
airelles,ca4c1f6fa8,7,suivi,2026-05-30T21:10:23.961200+00:00
airelles,8d41d220f2,4,uncertain,2026-05-30T21:10:25.422938+00:00
airelles,0ef12ec409,2,uncertain,2026-05-30T21:10:26.660711+00:00
airelles,0ef12ec409,12,uncertain,2026-05-30T21:10:29.217404+00:00
airelles,ca4c1f6fa8,6,uncertain,2026-05-30T21:10:30.326480+00:00
airelles,0ef12ec409,4,uncertain,2026-05-30T21:10:31.292732+00:00
airelles,0ef12ec409,4,uncertain,2026-05-30T21:10:32.972022+00:00
airelles,0ef12ec409,4,uncertain,2026-05-30T21:10:34.233048+00:00
airelles,0ef12ec409,4,uncertain,2026-05-30T21:10:34.453267+00:00
