map,circuit_id,leg_index,label,timestamp
caen,682e834887,3,0_0,2026-05-31T10:59:11.773170+00:00
caen,6004b226ea,0,0_0,2026-05-31T10:59:19.139473+00:00
caen,60696097db,12,2_2,2026-05-31T10:59:30.366779+00:00
caen,682e834887,7,0_0,2026-05-31T10:59:39.867463+00:00
caen,682e834887,13,2_2,2026-05-31T11:00:02.002120+00:00
caen,682e834887,5,0_0,2026-05-31T11:00:06.496205+00:00
caen,682e834887,17,2_0,2026-05-31T11:00:20.882657+00:00
caen,60696097db,4,1_0,2026-05-31T11:00:29.239465+00:00
caen,60696097db,9,1_1,2026-05-31T11:00:39.850583+00:00
caen,60696097db,18,2_2,2026-05-31T11:00:46.076449+00:00
caen,682e834887,15,2_2,2026-05-31T11:00:48.879104+00:00
caen,682e834887,9,0_0,2026-05-31T11:00:51.738150+00:00
caen,6004b226ea,8,1_1,2026-05-31T11:00:59.116998+00:00
caen,682e834887,6,2_2,2026-05-31T11:01:10.572997+00:00
caen,60696097db,0,2_2,2026-05-31T11:01:24.321390+00:00
caen,60696097db,8,2_1,2026-05-31T11:01:36.104099+00:00
caen,60696097db,5,1_1,2026-05-31T11:01:45.852149+00:00
caen,682e834887,18,1_1,2026-05-31T11:02:00.500453+00:00
caen,6004b226ea,10,0_0,2026-05-31T11:02:04.288940+00:00
caen,6004b226ea,17,2_1,2026-05-31T11:02:13.629377+00:00
caen,682e834887,11,2_1,2026-05-31T11:02:22.740769+00:00
caen,60696097db,7,2_2,2026-05-31T11:02:32.120726+00:00
caen,60696097db,1,0_0,2026-05-31T11:02:40.666008+00:00
caen,682e834887,12,1_1,2026-05-31T11:02:51.041008+00:00
caen,6004b226ea,12,2_1,2026-05-31T11:02:58.492974+00:00
caen,682e834887,16,1_1,2026-05-31T11:03:07.391265+00:00
caen,60696097db,15,2_2,2026-05-31T11:03:21.897274+00:00
caen,60696097db,17,0_0,2026-05-31T11:03:24.484575+00:00
caen,6004b226ea,1,1_2,2026-05-31T11:03:32.984513+00:00
caen,60696097db,16,0_0,2026-05-31T11:03:41.595225+00:00
caen,6004b226ea,2,0_0,2026-05-31T11:03:47.376042+00:00
caen,6004b226ea,11,2_1,2026-05-31T11:03:53.502082+00:00
caen,6004b226ea,15,0_0,2026-05-31T11:04:02.598106+00:00
caen,60696097db,11,0_0,2026-05-31T11:04:05.222430+00:00
caen,682e834887,14,2_2,2026-05-31T11:04:15.742757+00:00
caen,6004b226ea,9,0_0,2026-05-31T11:04:18.771227+00:00
caen,6004b226ea,18,0_0,2026-05-31T11:04:57.126210+00:00
caen,60696097db,10,2_1,2026-05-31T11:05:06.885002+00:00
caen,682e834887,10,2_1,2026-05-31T11:05:28.370172+00:00
caen,682e834887,4,0_0,2026-05-31T11:05:33.649747+00:00
caen,6004b226ea,13,0_0,2026-05-31T11:05:41.222808+00:00
caen,60696097db,2,0_0,2026-05-31T11:05:46.805790+00:00
caen,6004b226ea,16,2_2,2026-05-31T11:06:09.964989+00:00
caen,60696097db,6,0_0,2026-05-31T11:06:13.610831+00:00
caen,60696097db,3,0_0,2026-05-31T11:06:15.966536+00:00
caen,682e834887,2,2_2,2026-05-31T11:06:22.134128+00:00
