map,circuit_id,leg_index,label,timestamp
grochot,8036eec02c,2,uncertain,2026-05-31T12:51:11.055588+00:00
grochot,7f74210153,10,attaque,2026-05-31T12:51:22.556569+00:00
grochot,7f74210153,1,suivi,2026-05-31T12:51:29.524596+00:00
grochot,fa3385ccbb,13,suivi,2026-05-31T12:51:32.843241+00:00
grochot,7f74210153,2,suivi,2026-05-31T12:51:37.976098+00:00
grochot,7f74210153,8,attaque,2026-05-31T12:51:42.927595+00:00
grochot,7f74210153,9,attaque,2026-05-31T12:51:48.581574+00:00
grochot,7f74210153,11,uncertain,2026-05-31T12:51:49.918918+00:00
grochot,fa3385ccbb,10,suivi,2026-05-31T12:51:57.532638+00:00
grochot,8036eec02c,11,uncertain,2026-05-31T12:52:00.623014+00:00
grochot,7f74210153,3,suivi,2026-05-31T12:52:08.758683+00:00
grochot,7f74210153,13,uncertain,2026-05-31T12:52:10.531822+00:00
grochot,8036eec02c,3,uncertain,2026-05-31T12:52:12.384080+00:00
grochot,fa3385ccbb,2,uncertain,2026-05-31T12:52:13.542804+00:00
grochot,fa3385ccbb,11,suivi,2026-05-31T12:52:16.797413+00:00
grochot,8036eec02c,4,attaque,2026-05-31T12:52:19.639280+00:00
grochot,7f74210153,5,suivi,2026-05-31T12:52:21.930446+00:00
grochot,7f74210153,12,uncertain,2026-05-31T12:52:23.168363+00:00
grochot,fa3385ccbb,7,suivi,2026-05-31T12:52:35.915571+00:00
grochot,8036eec02c,7,uncertain,2026-05-31T12:52:37.117981+00:00
grochot,fa3385ccbb,4,suivi,2026-05-31T12:52:47.262498+00:00
grochot,8036eec02c,12,uncertain,2026-05-31T12:52:48.948332+00:00
grochot,fa3385ccbb,5,suivi,2026-05-31T12:52:53.823460+00:00
grochot,fa3385ccbb,9,suivi,2026-05-31T12:52:57.211269+00:00
grochot,fa3385ccbb,12,attaque,2026-05-31T12:53:07.073962+00:00
grochot,7f74210153,0,attaque,2026-05-31T12:53:10.905207+00:00
grochot,8036eec02c,9,uncertain,2026-05-31T12:53:12.713903+00:00
grochot,fa3385ccbb,3,suivi,2026-05-31T12:53:15.207118+00:00
grochot,fa3385ccbb,8,suivi,2026-05-31T12:53:17.128400+00:00
grochot,8036eec02c,0,uncertain,2026-05-31T12:53:18.528307+00:00
grochot,8036eec02c,6,uncertain,2026-05-31T12:53:19.913470+00:00
grochot,7f74210153,4,suivi,2026-05-31T12:53:22.837969+00:00
grochot,fa3385ccbb,1,attaque,2026-05-31T12:53:25.784556+00:00
grochot,7f74210153,6,suivi,2026-05-31T12:53:27.485264+00:00
grochot,8036eec02c,13,uncertain,2026-05-31T12:53:29.592292+00:00
grochot,8036eec02c,10,uncertain,2026-05-31T12:53:30.600691+00:00
grochot,8036eec02c,1,attaque,2026-05-31T12:53:32.993275+00:00
grochot,fa3385ccbb,6,suivi,2026-05-31T12:53:38.358390+00:00
grochot,7f74210153,7,suivi,2026-05-31T12:53:41.262761+00:00
grochot,fa3385ccbb,0,attaque,2026-05-31T12:53:44.247690+00:00
grochot,8036eec02c,5,suivi,2026-05-31T12:53:48.155438+00:00
grochot,8036eec02c,8,uncertain,2026-05-31T12:53:49.980339+00:00
grochot,8036eec02c,8,uncertain,2026-05-31T12:53:51.354409+00:00
grochot,8036eec02c,8,uncertain,2026-05-31T12:53:52.332816+00:00
