map,circuit_id,leg_index,label,timestamp
llose,3c1089d179,8,attaque,2026-05-30T21:46:42.008137+00:00
llose,03a24dc00d,3,suivi,2026-05-30T21:46:46.820808+00:00
llose,3c1089d179,5,attaque,2026-05-30T21:46:55.421015+00:00
llose,3c1089d179,6,attaque,2026-05-30T21:47:00.006165+00:00
llose,3f388e1f75,5,attaque,2026-05-30T21:47:05.014956+00:00
llose,3c1089d179,13,attaque,2026-05-30T21:47:10.920875+00:00
llose,3f388e1f75,4,suivi,2026-05-30T21:47:15.601243+00:00
llose,03a24dc00d,9,suivi,2026-05-30T21:47:19.506509+00:00
llose,03a24dc00d,1,suivi,2026-05-30T21:47:25.964324+00:00
llose,3f388e1f75,0,attaque,2026-05-30T21:47:30.437507+00:00
llose,3f388e1f75,11,attaque,2026-05-30T21:47:34.621827+00:00
llose,3c1089d179,7,attaque,2026-05-30T21:47:41.180565+00:00
llose,3f388e1f75,3,suivi,2026-05-30T21:47:45.645825+00:00
llose,03a24dc00d,8,suivi,2026-05-30T21:47:54.106458+00:00
llose,03a24dc00d,11,uncertain,2026-05-30T21:47:55.796127+00:00
llose,3c1089d179,3,suivi,2026-05-30T21:47:59.848998+00:00
llose,03a24dc00d,13,uncertain,2026-05-30T21:48:02.108829+00:00
llose,3f388e1f75,6,attaque,2026-05-30T21:48:12.227396+00:00
llose,3f388e1f75,10,uncertain,2026-05-30T21:48:14.075516+00:00
llose,3f388e1f75,12,attaque,2026-05-30T21:48:20.605544+00:00
llose,3c1089d179,9,suivi,2026-05-30T21:48:24.889951+00:00
llose,3c1089d179,4,attaque,2026-05-30T21:48:28.927530+00:00
llose,3f388e1f75,2,attaque,2026-05-30T21:48:33.311716+00:00
llose,3f388e1f75,13,attaque,2026-05-30T21:48:35.647281+00:00
llose,3f388e1f75,13,suivi,2026-05-30T21:48:44.882983+00:00
llose,3f388e1f75,13,suivi,2026-05-30T21:48:53.151415+00:00
llose,3f388e1f75,1,attaque,2026-05-30T21:48:57.717405+00:00
llose,03a24dc00d,6,suivi,2026-05-30T21:49:02.043150+00:00
llose,3f388e1f75,7,suivi,2026-05-30T21:49:05.008921+00:00
llose,03a24dc00d,4,suivi,2026-05-30T21:49:08.416628+00:00
llose,3f388e1f75,9,uncertain,2026-05-30T21:49:13.926821+00:00
llose,03a24dc00d,0,attaque,2026-05-30T21:49:19.654888+00:00
llose,03a24dc00d,5,attaque,2026-05-30T21:49:24.701361+00:00
llose,03a24dc00d,12,uncertain,2026-05-30T21:49:25.864638+00:00
llose,3c1089d179,1,attaque,2026-05-30T21:49:34.591814+00:00
llose,3f388e1f75,8,uncertain,2026-05-30T21:49:36.223277+00:00
llose,3c1089d179,10,uncertain,2026-05-30T21:49:37.417468+00:00
llose,3c1089d179,11,uncertain,2026-05-30T21:49:38.400010+00:00
llose,3c1089d179,2,suivi,2026-05-30T21:49:41.019855+00:00
llose,03a24dc00d,10,suivi,2026-05-30T21:49:43.399336+00:00
llose,03a24dc00d,7,suivi,2026-05-30T21:49:47.015033+00:00
llose,3c1089d179,12,suivi,2026-05-30T21:49:50.219287+00:00
llose,3c1089d179,0,uncertain,2026-05-30T21:50:00.327424+00:00
llose,03a24dc00d,2,suivi,2026-05-30T21:50:03.790568+00:00
llose,03a24dc00d,2,suivi,2026-05-30T21:50:08.042422+00:00
llose,03a24dc00d,2,suivi,2026-05-30T21:50:10.108529+00:00
llose,03a24dc00d,2,suivi,2026-05-30T21:50:11.998334+00:00
llose,03a24dc00d,2,suivi,2026-05-30T21:50:12.597739+00:00
llose,03a24dc00d,2,suivi,2026-05-30T21:50:13.090067+00:00
