map,circuit_id,leg_index,label,timestamp
montmirel,a224b8f6a4,0,suivi,2026-05-31T12:08:27.757016+00:00
montmirel,a224b8f6a4,3,suivi,2026-05-31T12:08:34.973551+00:00
montmirel,111edc3fd2,4,uncertain,2026-05-31T12:08:37.030512+00:00
montmirel,a224b8f6a4,11,suivi,2026-05-31T12:08:38.792001+00:00
montmirel,a224b8f6a4,12,suivi,2026-05-31T12:08:39.947065+00:00
montmirel,a224b8f6a4,7,uncertain,2026-05-31T12:08:41.511626+00:00
montmirel,a224b8f6a4,4,suivi,2026-05-31T12:08:43.334002+00:00
montmirel,111edc3fd2,1,attaque,2026-05-31T12:08:47.284722+00:00
montmirel,111edc3fd2,10,suivi,2026-05-31T12:08:53.400252+00:00
montmirel,111edc3fd2,9,suivi,2026-05-31T12:08:55.136479+00:00
montmirel,a224b8f6a4,6,uncertain,2026-05-31T12:08:56.632496+00:00
montmirel,111edc3fd2,12,suivi,2026-05-31T12:08:58.091115+00:00
montmirel,111edc3fd2,0,suivi,2026-05-31T12:09:00.336885+00:00
montmirel,111edc3fd2,13,suivi,2026-05-31T12:09:01.701356+00:00
montmirel,a224b8f6a4,2,suivi,2026-05-31T12:09:03.209355+00:00
montmirel,111edc3fd2,2,suivi,2026-05-31T12:09:04.942617+00:00
montmirel,2695d0e1c3,10,attaque,2026-05-31T12:09:09.446666+00:00
montmirel,2695d0e1c3,8,attaque,2026-05-31T12:09:11.024484+00:00
montmirel,a224b8f6a4,10,suivi,2026-05-31T12:09:12.630748+00:00
montmirel,111edc3fd2,7,attaque,2026-05-31T12:09:15.985654+00:00
montmirel,2695d0e1c3,12,suivi,2026-05-31T12:09:17.398384+00:00
montmirel,2695d0e1c3,2,suivi,2026-05-31T12:09:18.361635+00:00
montmirel,2695d0e1c3,7,attaque,2026-05-31T12:09:21.335983+00:00
montmirel,2695d0e1c3,3,suivi,2026-05-31T12:09:22.719017+00:00
montmirel,a224b8f6a4,8,uncertain,2026-05-31T12:09:24.441107+00:00
montmirel,2695d0e1c3,9,suivi,2026-05-31T12:09:32.513890+00:00
montmirel,111edc3fd2,8,attaque,2026-05-31T12:09:40.884783+00:00
montmirel,2695d0e1c3,0,suivi,2026-05-31T12:09:42.911491+00:00
montmirel,2695d0e1c3,1,suivi,2026-05-31T12:09:46.727533+00:00
montmirel,a224b8f6a4,5,uncertain,2026-05-31T12:09:48.370718+00:00
montmirel,111edc3fd2,11,attaque,2026-05-31T12:09:51.133560+00:00
montmirel,111edc3fd2,3,uncertain,2026-05-31T12:09:52.821661+00:00
montmirel,2695d0e1c3,4,suivi,2026-05-31T12:09:54.663694+00:00
montmirel,2695d0e1c3,5,suivi,2026-05-31T12:09:55.756588+00:00
montmirel,111edc3fd2,6,uncertain,2026-05-31T12:09:57.094951+00:00
montmirel,a224b8f6a4,9,suivi,2026-05-31T12:09:58.329488+00:00
montmirel,111edc3fd2,5,uncertain,2026-05-31T12:09:59.589735+00:00
montmirel,a224b8f6a4,13,suivi,2026-05-31T12:10:00.762547+00:00
montmirel,2695d0e1c3,11,suivi,2026-05-31T12:10:03.151981+00:00
montmirel,a224b8f6a4,1,suivi,2026-05-31T12:10:04.022748+00:00
montmirel,2695d0e1c3,6,suivi,2026-05-31T12:10:05.258951+00:00
montmirel,2695d0e1c3,13,suivi,2026-05-31T12:10:05.946792+00:00
montmirel,2695d0e1c3,13,suivi,2026-05-31T12:10:08.773706+00:00
