map,circuit_id,leg_index,label,timestamp
steanne,5b259d7714,1,attaque,2026-05-31T13:00:48.382599+00:00
steanne,5b259d7714,0,suivi,2026-05-31T13:00:52.032694+00:00
steanne,5b259d7714,5,suivi,2026-05-31T13:00:57.127814+00:00
steanne,5b259d7714,6,attaque,2026-05-31T13:00:59.227611+00:00
steanne,5b259d7714,12,suivi,2026-05-31T13:01:03.310556+00:00
steanne,500315b98e,7,uncertain,2026-05-31T13:01:04.710744+00:00
steanne,5b259d7714,7,uncertain,2026-05-31T13:01:06.541498+00:00
steanne,c8215ba26d,10,attaque,2026-05-31T13:01:12.899856+00:00
steanne,500315b98e,11,uncertain,2026-05-31T13:01:14.573678+00:00
steanne,5b259d7714,11,uncertain,2026-05-31T13:01:15.740504+00:00
steanne,c8215ba26d,13,suivi,2026-05-31T13:01:19.888461+00:00
steanne,c8215ba26d,9,suivi,2026-05-31T13:01:24.925702+00:00
steanne,c8215ba26d,4,uncertain,2026-05-31T13:01:26.570071+00:00
steanne,500315b98e,13,suivi,2026-05-31T13:16:51.886749+00:00
steanne,5b259d7714,4,suivi,2026-05-31T13:16:54.099297+00:00
steanne,500315b98e,6,uncertain,2026-05-31T13:16:55.554838+00:00
steanne,500315b98e,1,suivi,2026-05-31T13:16:58.445112+00:00
steanne,500315b98e,5,uncertain,2026-05-31T13:16:59.903925+00:00
steanne,500315b98e,0,suivi,2026-05-31T13:17:01.557182+00:00
steanne,c8215ba26d,1,uncertain,2026-05-31T13:17:03.073314+00:00
steanne,500315b98e,3,uncertain,2026-05-31T13:17:04.772316+00:00
steanne,500315b98e,12,suivi,2026-05-31T13:17:06.800729+00:00
steanne,c8215ba26d,6,suivi,2026-05-31T13:17:10.702150+00:00
steanne,c8215ba26d,7,attaque,2026-05-31T13:17:14.059505+00:00
steanne,5b259d7714,13,suivi,2026-05-31T13:17:17.429528+00:00
steanne,500315b98e,10,uncertain,2026-05-31T13:17:19.635775+00:00
steanne,500315b98e,8,suivi,2026-05-31T13:17:21.804225+00:00
steanne,c8215ba26d,11,uncertain,2026-05-31T13:17:24.901360+00:00
steanne,c8215ba26d,3,suivi,2026-05-31T13:17:27.197522+00:00
steanne,c8215ba26d,0,uncertain,2026-05-31T13:17:31.088220+00:00
steanne,5b259d7714,3,suivi,2026-05-31T13:17:40.200753+00:00
steanne,5b259d7714,2,attaque,2026-05-31T13:17:43.506830+00:00
steanne,c8215ba26d,5,uncertain,2026-05-31T13:17:44.749183+00:00
steanne,c8215ba26d,8,suivi,2026-05-31T13:17:46.540620+00:00
steanne,5b259d7714,8,uncertain,2026-05-31T13:17:48.271134+00:00
steanne,5b259d7714,10,uncertain,2026-05-31T13:17:50.048600+00:00
steanne,c8215ba26d,2,uncertain,2026-05-31T13:17:50.810285+00:00
steanne,500315b98e,2,suivi,2026-05-31T13:17:53.758554+00:00
steanne,500315b98e,9,uncertain,2026-05-31T13:17:55.531369+00:00
steanne,500315b98e,4,uncertain,2026-05-31T13:17:56.806410+00:00
steanne,5b259d7714,9,uncertain,2026-05-31T13:17:58.625322+00:00
steanne,c8215ba26d,12,uncertain,2026-05-31T13:17:59.544183+00:00
steanne,c8215ba26d,12,uncertain,2026-05-31T13:17:59.942105+00:00
steanne,c8215ba26d,12,uncertain,2026-05-31T13:18:00.422706+00:00
