map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
airelles,A,0ef12ec409,0,412.1,42.525294,2.066957,42.526482,2.07173,-0.0398,6.277,0.567,1.0,0.171,0.0317,1.0,0.1779,0.1678,0.567,0.0,0.1779,0.0,92.2136
airelles,A,0ef12ec409,1,178.8,42.526482,2.07173,42.524901,2.07131,4.1415,0.7238,0.4861,0.0057,0.0646,0.0868,1.0,0.0017,0.0612,0.4861,0.0,0.2945,0.0,92.2136
airelles,A,0ef12ec409,2,373.4,42.524901,2.07131,42.527729,2.068837,-1.5224,-5.9628,0.1141,0.1205,0.0458,0.7818,1.0,0.1066,0.0243,0.1141,0.0,0.8842,0.0,92.2136
airelles,A,0ef12ec409,3,364.8,42.527729,2.068837,42.527848,2.06438,9.7206,0.0451,0.8357,0.0,0.0,0.0,0.3287,0.0,0.0,0.5,0.0,0.0,0.3357,92.2136
airelles,A,0ef12ec409,4,363.9,42.527848,2.06438,42.524611,2.065084,1.8148,8.0763,0.6289,0.0,0.2578,0.0,1.0,0.0,0.2578,0.6289,0.0,0.0,0.0,92.2136
airelles,A,0ef12ec409,5,558.4,42.524611,2.065084,42.528774,2.068914,-6.8939,-3.7369,0.0349,0.425,0.2206,0.9428,1.0,0.4127,0.0958,0.0349,0.0,0.971,0.0,92.2136
airelles,A,0ef12ec409,6,339.9,42.528774,2.068914,42.525736,2.068392,6.2641,0.0944,0.5,0.1493,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,92.2136
airelles,A,0ef12ec409,7,322.6,42.525736,2.068392,42.5264,2.064553,-1.5324,-0.8535,0.283,0.1624,0.1572,0.5109,1.0,0.1161,0.109,0.283,0.0,0.7148,0.0,92.2136
airelles,A,0ef12ec409,8,326.3,42.5264,2.064553,42.524543,2.06146,-6.1403,-6.9668,0.0,0.929,0.0,1.0,0.85,0.929,0.0,0.0,0.0,0.85,0.0,92.2136
airelles,A,0ef12ec409,9,383.8,42.524543,2.06146,42.521201,2.062664,5.2204,2.0019,0.5312,0.0991,0.0623,0.0,1.0,0.0,0.0623,0.5312,0.0,0.0,0.0,92.2136
airelles,A,0ef12ec409,10,397.6,42.521201,2.062664,42.522322,2.058049,3.4411,4.3876,0.5689,0.0,0.1516,0.012,1.0,0.0,0.1505,0.5689,0.0,0.1094,0.0,92.2136
airelles,A,0ef12ec409,11,247.5,42.522322,2.058049,42.520136,2.058646,-6.5853,-3.4185,0.1122,0.852,0.1215,0.7999,1.0,0.762,0.0632,0.1122,0.0,0.8944,0.0,92.2136
airelles,A,0ef12ec409,12,1067.7,42.520136,2.058646,42.527572,2.066926,0.6664,5.7951,0.5649,0.8301,0.1627,0.0283,1.0,0.1395,0.1599,0.5649,0.0,0.1681,0.0,92.2136
airelles,A,0ef12ec409,13,252.8,42.527572,2.066926,42.525294,2.066957,0.4402,10.4353,0.6659,0.0,0.3318,0.0,1.0,0.0,0.3318,0.6659,0.0,0.0,0.0,92.2136
airelles,B-open,ca4c1f6fa8,0,67.0,42.525294,2.066957,42.524789,2.06651,9.3711,-0.8505,0.8048,0.0,0.0,0.1201,0.1707,0.0,0.0,0.4399,0.0,0.0592,0.3648,91.4157
airelles,B-open,ca4c1f6fa8,1,414.1,42.524789,2.06651,42.524794,2.071572,-1.289,5.783,0.5044,0.1692,0.2748,0.2087,1.0,0.0773,0.2404,0.5044,0.0,0.4568,0.0,91.4157
airelles,B-open,ca4c1f6fa8,2,394.2,42.524794,2.071572,42.527675,2.068755,-2.1207,-4.4835,0.1704,0.3753,0.0531,0.6764,1.0,0.3086,0.0315,0.1704,0.0,0.8224,0.0,91.4157
airelles,B-open,ca4c1f6fa8,3,358.4,42.527675,2.068755,42.527848,2.06438,9.6696,0.0421,0.8302,0.0,0.0,0.0,0.3396,0.0,0.0,0.5,0.0,0.0,0.3302,91.4157
airelles,B-open,ca4c1f6fa8,4,366.4,42.527848,2.06438,42.524583,2.065042,1.9717,7.8071,0.6247,0.0,0.2494,0.0,1.0,0.0,0.2494,0.6247,0.0,0.0,0.0,91.4157
