map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
bayeux,A,1740ae6518,0,148.7,49.281219,-0.704349,49.28235,-0.70545,-4.32,1.8643,0.2795,0.175,0.2991,0.5697,1.0,0.1321,0.1969,0.2795,0.0,0.7548,0.0,79.9552
bayeux,A,1740ae6518,1,171.6,49.28235,-0.70545,49.28125,-0.707117,2.0653,-6.4518,0.1249,0.032,0.0,0.8407,0.4318,0.0294,0.0,0.0797,0.0,0.3959,0.0453,79.9552
bayeux,A,1740ae6518,2,143.1,49.28125,-0.707117,49.282295,-0.708272,2.6973,-3.5769,0.3056,0.0,0.0593,0.6101,0.5063,0.0,0.0376,0.2065,0.0,0.3955,0.0991,79.9552
bayeux,A,1740ae6518,3,102.2,49.282295,-0.708272,49.282164,-0.70967,1.5096,-1.4898,0.309,0.0,0.1678,0.6808,0.3115,0.0,0.0993,0.1864,0.0,0.257,0.1226,79.9552
bayeux,A,1740ae6518,4,159.3,49.282164,-0.70967,49.283449,-0.710647,4.8292,-3.1942,0.3804,0.3235,0.0,0.5462,0.0276,0.2391,0.0,0.2269,0.0,0.0204,0.1535,79.9552
bayeux,A,1740ae6518,5,127.7,49.283449,-0.710647,49.283556,-0.708891,0.5707,-6.0182,0.0155,0.4537,0.0,0.98,0.0406,0.4492,0.0,0.01,0.0,0.0402,0.0055,79.9552
bayeux,A,1740ae6518,6,66.1,49.283556,-0.708891,49.284044,-0.709415,4.5288,-0.1742,0.5186,0.0,0.148,0.5483,0.0,0.0,0.0993,0.2593,0.0,0.0,0.2593,79.9552
bayeux,A,1740ae6518,7,218.7,49.284044,-0.709415,49.283206,-0.712148,6.0231,-1.6191,0.5919,0.2821,0.0106,0.3173,0.2291,0.1589,0.0086,0.345,0.0,0.1291,0.2469,79.9552
bayeux,A,1740ae6518,8,86.9,49.283206,-0.712148,49.283686,-0.713095,5.086,3.3041,0.7771,0.0,0.1737,0.2162,0.2806,0.0,0.1511,0.4599,0.0,0.1305,0.3171,79.9552
bayeux,A,1740ae6518,9,102.1,49.283686,-0.713095,49.283977,-0.711758,-4.3397,9.7352,0.5648,0.0,0.5942,0.5577,0.3172,0.0,0.3954,0.3525,0.0,0.2369,0.2123,79.9552
bayeux,A,1740ae6518,10,143.0,49.283977,-0.711758,49.285265,-0.711807,-0.3658,1.679,0.375,0.7892,0.1498,0.4514,0.2265,0.5302,0.1092,0.3154,0.0,0.1522,0.0597,79.9552
bayeux,A,1740ae6518,11,182.7,49.285265,-0.711807,49.28473,-0.709421,8.5716,3.4163,1.001,0.0976,0.0994,0.0,0.1664,0.0,0.0994,0.5497,0.0,0.0,0.4513,79.9552
bayeux,A,1740ae6518,12,142.1,49.28473,-0.709421,49.283451,-0.7095,-1.0955,-6.2861,0.0001,0.5779,0.0,0.9999,0.2104,0.5779,0.0,0.0,0.0,0.2104,0.0,79.9552
bayeux,A,1740ae6518,13,100.0,49.283451,-0.7095,49.282673,-0.708803,-3.6476,12.7817,0.7796,0.0,0.6815,0.5268,0.029,0.0,0.4661,0.3978,0.0,0.021,0.3818,79.9552
bayeux,A,1740ae6518,14,155.1,49.282673,-0.708803,49.282513,-0.706675,0.5818,-0.2423,0.3678,0.8342,0.0632,0.4022,0.392,0.5291,0.0479,0.3178,0.0,0.2486,0.0501,79.9552
bayeux,A,1740ae6518,15,142.4,49.282513,-0.706675,49.283794,-0.706585,-1.2936,6.8959,0.584,0.0,0.4608,0.5537,0.165,0.0,0.3077,0.326,0.0,0.1228,0.258,79.9552
bayeux,A,1740ae6518,16,248.1,49.283794,-0.706585,49.281691,-0.705425,1.8981,5.2798,0.5707,0.9319,0.1429,0.058,0.4602,0.2243,0.1379,0.5383,0.0,0.1108,0.0324,79.9552
bayeux,A,1740ae6518,17,120.7,49.281691,-0.705425,49.280604,-0.705459,3.9509,-3.0244,0.3805,0.4239,0.0,0.5172,0.1577,0.3048,0.0,0.2414,0.0,0.1134,0.1391,79.9552
bayeux,A,1740ae6518,18,105.4,49.280604,-0.705459,49.281219,-0.704349,-0.0327,7.5712,0.7315,0.1217,0.4025,0.4114,0.1846,0.078,0.3032,0.4128,0.0,0.1184,0.3187,79.9552
bayeux,B-open,c95e3e11bd,0,154.3,49.281219,-0.704349,49.282478,-0.705254,1.6408,-1.6558,0.3795,0.2561,0.0555,0.3645,0.8623,0.1546,0.0434,0.3354,0.0,0.5206,0.0441,80.1709
bayeux,B-open,c95e3e11bd,1,183.8,49.282478,-0.705254,49.2813,-0.707039,1.2292,-6.5483,0.136,0.0299,0.0,0.7958,0.6677,0.0267,0.0,0.1021,0.0,0.5956,0.0339,80.1709
bayeux,B-open,c95e3e11bd,2,142.0,49.2813,-0.707039,49.282295,-0.708272,0.5529,-5.1612,0.1939,0.3422,0.0102,0.7343,0.5531,0.2932,0.0057,0.1342,0.0,0.474,0.0596,80.1709
bayeux,B-open,c95e3e11bd,3,91.0,49.282295,-0.708272,49.282257,-0.709527,2.5525,-1.7139,0.3254,0.0,0.1494,0.69,0.1564,0.0,0.0875,0.1781,0.0,0.1299,0.1472,80.1709
bayeux,B-open,c95e3e11bd,4,155.2,49.282257,-0.709527,49.283449,-0.710647,5.8614,-3.6689,0.4046,0.1179,0.0,0.57,0.0166,0.089,0.0,0.215,0.0,0.0125,0.1896,80.1709
bayeux,B-open,c95e3e11bd,5,111.9,49.283449,-0.710647,49.282613,-0.709785,3.3724,13.4806,1.2715,0.139,0.419,0.0184,0.0,0.0188,0.4144,0.6965,0.0,0.0,0.575,80.1709
bayeux,B-open,c95e3e11bd,6,127.2,49.282613,-0.709785,49.283759,-0.709852,0.8884,0.6222,0.3744,0.0,0.2443,0.6482,0.2525,0.0,0.1493,0.2189,0.0,0.2033,0.1555,80.1709
bayeux,B-open,c95e3e11bd,7,177.2,49.283759,-0.709852,49.283206,-0.712148,1.5622,-0.156,0.3586,0.0,0.2142,0.6698,0.1849,0.0,0.1281,0.2005,0.0,0.1513,0.1581,80.1709
bayeux,B-open,c95e3e11bd,8,86.9,49.283206,-0.712148,49.283686,-0.713095,5.086,3.3041,0.7771,0.0,0.1737,0.2162,0.2806,0.0,0.1511,0.4599,0.0,0.1305,0.3171,80.1709
bayeux,B-open,c95e3e11bd,9,102.1,49.283686,-0.713095,49.283977,-0.711758,-4.3397,9.7352,0.5648,0.0,0.5942,0.5577,0.3172,0.0,0.3954,0.3525,0.0,0.2369,0.2123,80.1709
bayeux,B-open,c95e3e11bd,10,143.0,49.283977,-0.711758,49.285265,-0.711807,-0.3658,1.679,0.375,0.7892,0.1498,0.4514,0.2265,0.5302,0.1092,0.3154,0.0,0.1522,0.0597,80.1709
bayeux,B-open,c95e3e11bd,11,174.1,49.285265,-0.711807,49.284588,-0.709638,10.2006,0.5306,0.9243,0.0,0.0139,0.0,0.1747,0.0,0.0139,0.5069,0.0,0.0,0.4174,80.1709
bayeux,B-open,c95e3e11bd,12,126.6,49.284588,-0.709638,49.283451,-0.7095,-0.4289,-6.3469,0.001,0.4914,0.0,0.9987,0.1733,0.491,0.0,0.0006,0.0,0.1732,0.0003,80.1709
bayeux,B-open,c95e3e11bd,13,100.0,49.283451,-0.7095,49.282673,-0.708803,-3.6476,12.7817,0.7796,0.0,0.6815,0.5268,0.029,0.0,0.4661,0.3978,0.0,0.021,0.3818,80.1709
bayeux,B-open,c95e3e11bd,14,155.1,49.282673,-0.708803,49.282513,-0.706675,0.5818,-0.2423,0.3678,0.8342,0.0632,0.4022,0.392,0.5291,0.0479,0.3178,0.0,0.2486,0.0501,80.1709
bayeux,B-open,c95e3e11bd,15,142.4,49.282513,-0.706675,49.283794,-0.706585,-1.2936,6.8959,0.584,0.0,0.4608,0.5537,0.165,0.0,0.3077,0.326,0.0,0.1228,0.258,80.1709
bayeux,B-open,c95e3e11bd,16,91.1,49.283794,-0.706585,49.283215,-0.705692,-0.7647,-7.6971,0.0699,0.0,0.0,0.8601,1.0,0.0,0.0,0.0699,0.0,0.9274,0.0,80.1709
bayeux,B-open,c95e3e11bd,17,248.4,49.283215,-0.705692,49.280991,-0.706062,5.1542,0.4507,0.542,0.8015,0.0,0.0955,0.3164,0.2476,0.0,0.4523,0.0,0.0978,0.0898,80.1709
bayeux,B-open,c95e3e11bd,18,126.6,49.280991,-0.706062,49.281219,-0.704349,2.4533,2.9806,0.6202,0.2881,0.1576,0.2133,0.6054,0.133,0.1374,0.4554,0.0,0.2796,0.1649,80.1709
bayeux,B-handrail,c94f07b905,0,148.7,49.281219,-0.704349,49.28235,-0.70545,-4.32,1.8643,0.2795,0.175,0.2991,0.5697,1.0,0.1321,0.1969,0.2795,0.0,0.7548,0.0,77.3414
bayeux,B-handrail,c94f07b905,1,163.7,49.28235,-0.70545,49.2813,-0.707039,2.064,-6.4465,0.1251,0.0336,0.0,0.8406,0.4305,0.0308,0.0,0.0797,0.0,0.3947,0.0454,77.3414
bayeux,B-handrail,c94f07b905,2,142.0,49.2813,-0.707039,49.282295,-0.708272,0.5529,-5.1612,0.1939,0.3422,0.0102,0.7343,0.5531,0.2932,0.0057,0.1342,0.0,0.474,0.0596,77.3414
bayeux,B-handrail,c94f07b905,3,91.0,49.282295,-0.708272,49.282257,-0.709527,2.5525,-1.7139,0.3254,0.0,0.1494,0.69,0.1564,0.0,0.0875,0.1781,0.0,0.1299,0.1472,77.3414
bayeux,B-handrail,c94f07b905,4,155.2,49.282257,-0.709527,49.283449,-0.710647,5.8614,-3.6689,0.4046,0.1179,0.0,0.57,0.0166,0.089,0.0,0.215,0.0,0.0125,0.1896,77.3414
bayeux,B-handrail,c94f07b905,5,111.9,49.283449,-0.710647,49.282613,-0.709785,3.3724,13.4806,1.2715,0.139,0.419,0.0184,0.0,0.0188,0.4144,0.6965,0.0,0.0,0.575,77.3414
bayeux,B-handrail,c94f07b905,6,120.5,49.282613,-0.709785,49.283694,-0.709951,0.6732,1.0895,0.3841,0.0,0.264,0.6477,0.2371,0.0,0.1614,0.2227,0.0,0.1909,0.1614,77.3414
bayeux,B-handrail,c94f07b905,7,168.0,49.283694,-0.709951,49.283206,-0.712148,-4.8533,6.2518,0.3109,0.0,0.586,0.776,0.1922,0.0,0.3131,0.1776,0.0,0.1693,0.1333,77.3414
bayeux,B-handrail,c94f07b905,8,86.9,49.283206,-0.712148,49.283686,-0.713095,5.086,3.3041,0.7771,0.0,0.1737,0.2162,0.2806,0.0,0.1511,0.4599,0.0,0.1305,0.3171,77.3414
bayeux,B-handrail,c94f07b905,9,102.1,49.283686,-0.713095,49.283977,-0.711758,-4.3397,9.7352,0.5648,0.0,0.5942,0.5577,0.3172,0.0,0.3954,0.3525,0.0,0.2369,0.2123,77.3414
bayeux,B-handrail,c94f07b905,10,143.0,49.283977,-0.711758,49.285265,-0.711807,-0.3658,1.679,0.375,0.7892,0.1498,0.4514,0.2265,0.5302,0.1092,0.3154,0.0,0.1522,0.0597,77.3414
bayeux,B-handrail,c94f07b905,11,174.1,49.285265,-0.711807,49.284588,-0.709638,10.2006,0.5306,0.9243,0.0,0.0139,0.0,0.1747,0.0,0.0139,0.5069,0.0,0.0,0.4174,77.3414
bayeux,B-handrail,c94f07b905,12,126.6,49.284588,-0.709638,49.283451,-0.7095,-0.4289,-6.3469,0.001,0.4914,0.0,0.9987,0.1733,0.491,0.0,0.0006,0.0,0.1732,0.0003,77.3414
bayeux,B-handrail,c94f07b905,13,100.0,49.283451,-0.7095,49.282673,-0.708803,-3.6476,12.7817,0.7796,0.0,0.6815,0.5268,0.029,0.0,0.4661,0.3978,0.0,0.021,0.3818,77.3414
bayeux,B-handrail,c94f07b905,14,155.1,49.282673,-0.708803,49.282513,-0.706675,0.5818,-0.2423,0.3678,0.8342,0.0632,0.4022,0.392,0.5291,0.0479,0.3178,0.0,0.2486,0.0501,77.3414
bayeux,B-handrail,c94f07b905,15,142.4,49.282513,-0.706675,49.283794,-0.706585,-1.2936,6.8959,0.584,0.0,0.4608,0.5537,0.165,0.0,0.3077,0.326,0.0,0.1228,0.258,77.3414
bayeux,B-handrail,c94f07b905,16,405.1,49.283794,-0.706585,49.281205,-0.702642,-7.1379,-4.3456,0.0845,1.0,0.0828,0.844,1.0,0.9187,0.0409,0.0845,0.0,0.9187,0.0,77.3414
bayeux,B-handrail,c94f07b905,17,87.5,49.281205,-0.702642,49.281967,-0.70295,0.8725,-1.1507,0.2974,0.0,0.191,0.6903,0.3508,0.0,0.1119,0.1844,0.0,0.2915,0.113,77.3414
bayeux,B-handrail,c94f07b905,18,131.0,49.281967,-0.70295,49.281219,-0.704349,1.4774,-1.4855,0.3642,0.4534,0.0856,0.5606,0.2948,0.3395,0.0568,0.2385,0.0,0.2207,0.1257,77.3414
