map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness,route_diversity,path_length_ratio,decision_points,valid_graph_ratio
caen,A,682e834887,2,376.0,49.205502,-0.379016,49.202382,-0.377,-4.5694,7.6105,0.5146,1.0,0.2888,0.2015,1.0,0.4489,0.2539,0.5146,0.0,0.4489,0.0,59.392,0.7498,0.9636,16,1.0
caen,A,682e834887,3,103.1,49.202382,-0.377,49.202131,-0.378368,-8.3778,16.8497,0.6924,0.0,0.7926,0.4111,0.5805,0.0,0.5971,0.5278,0.0,0.3722,0.1646,59.392,0.8306,0.772,5,1.0
caen,A,682e834887,4,288.4,49.202131,-0.378368,49.204506,-0.379978,-3.3507,-3.0669,0.2355,1.0,0.0188,0.5378,1.0,0.7333,0.0127,0.2355,0.0,0.7333,0.0,59.392,0.7237,0.9032,8,1.0
caen,A,682e834887,5,78.9,49.204506,-0.379978,49.203995,-0.380734,-3.1486,6.274,0.4659,0.0,0.453,0.5468,0.507,0.0,0.3044,0.3293,0.0,0.3749,0.1367,59.392,0.5722,0.898,8,1.0
caen,A,682e834887,6,260.7,49.203995,-0.380734,49.201864,-0.379225,-6.6898,0.9263,0.2564,1.0,0.2034,0.5739,1.0,0.7576,0.1334,0.2564,0.0,0.7576,0.0,59.392,0.3489,0.989,11,1.0
caen,A,682e834887,7,154.7,49.201864,-0.379225,49.200592,-0.3801,-5.7866,1.6459,0.2371,0.3181,0.3185,0.6403,1.0,0.2545,0.1961,0.2371,0.0,0.8002,0.0,59.392,0.2077,0.9964,10,1.0
caen,A,682e834887,8,233.9,49.200592,-0.3801,49.201351,-0.383109,-5.2847,12.0601,0.603,1.0,0.4057,0.142,0.7855,0.3769,0.3711,0.603,0.0,0.296,0.0,59.392,0.5197,0.9803,11,1.0
caen,A,682e834887,9,105.3,49.201351,-0.383109,49.200411,-0.383303,-11.4345,15.2923,0.4678,0.0,0.8523,0.5435,0.8281,0.0,0.5744,0.4228,0.0,0.6105,0.045,59.392,0.0,0.0,3,1.0
caen,A,682e834887,10,131.0,49.200411,-0.383303,49.201156,-0.381902,1.2304,-0.9376,0.2955,0.5214,0.1137,0.6348,0.0182,0.4154,0.0704,0.2034,0.0,0.0145,0.0921,59.392,0.6775,0.9522,6,1.0
caen,A,682e834887,11,443.3,49.201156,-0.381902,49.205063,-0.380637,-8.7142,5.4205,0.3326,1.0,0.3603,0.511,1.0,0.7148,0.2499,0.3326,0.0,0.7148,0.0,59.392,0.1507,0.9978,26,1.0
