map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
cerisy,A,d30f36a544,0,282.3,49.20741,-0.85879,49.209942,-0.858432,-4.9727,-2.7539,0.0052,0.6398,0.212,0.9935,0.3173,0.6377,0.0856,0.004,0.0,0.3162,0.0013,91.2462
cerisy,A,d30f36a544,1,434.4,49.209942,-0.858432,49.21254,-0.862914,0.8118,-5.6773,0.1432,0.3608,0.0,0.8248,0.3656,0.3276,0.0,0.0876,0.0,0.332,0.0556,91.2462
cerisy,A,d30f36a544,2,361.0,49.21254,-0.862914,49.21228,-0.867876,-1.0772,-3.3181,0.1705,1.0,0.0,0.6589,0.2868,0.8118,0.0,0.1705,0.0,0.2328,0.0,91.2462
cerisy,A,d30f36a544,3,437.1,49.21228,-0.867876,49.213218,-0.862022,3.9479,0.9856,0.4779,1.0,0.0,0.0442,0.6102,0.2103,0.0,0.4779,0.0,0.1283,0.0,91.2462
cerisy,A,d30f36a544,4,526.3,49.213218,-0.862022,49.217451,-0.865289,-7.5616,-3.0492,0.0978,0.9062,0.1509,0.83,1.0,0.8256,0.0758,0.0978,0.0,0.9111,0.0,91.2462
cerisy,A,d30f36a544,5,321.2,49.217451,-0.865289,49.218193,-0.861006,7.8785,1.2093,0.6377,0.7246,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1377,91.2462
cerisy,A,d30f36a544,6,407.5,49.218193,-0.861006,49.214529,-0.861366,3.7875,5.1557,0.6963,0.4889,0.143,0.0029,0.755,0.0265,0.1428,0.5698,0.0,0.0409,0.1264,91.2462
cerisy,A,d30f36a544,7,322.8,49.214529,-0.861366,49.216003,-0.857528,-1.3953,-3.8956,0.1068,0.6909,0.0584,0.8445,0.2177,0.6349,0.0288,0.0823,0.0,0.2001,0.0245,91.2462
cerisy,A,d30f36a544,8,258.5,49.216003,-0.857528,49.218193,-0.856315,3.7347,9.9957,0.9985,0.0,0.3127,0.0,0.4208,0.0,0.3127,0.6564,0.0,0.0,0.3421,91.2462
cerisy,A,d30f36a544,9,306.4,49.218193,-0.856315,49.217236,-0.852351,-7.325,-4.4456,0.0031,1.0,0.1186,0.9945,0.6695,0.9973,0.0478,0.0031,0.0,0.6677,0.0,91.2462
cerisy,A,d30f36a544,10,311.7,49.217236,-0.852351,49.214428,-0.852321,0.8697,-5.2111,0.2159,0.1059,0.0,0.5682,1.0,0.0798,0.0,0.2159,0.0,0.7538,0.0,91.2462
cerisy,A,d30f36a544,11,462.0,49.214428,-0.852321,49.210813,-0.855479,1.2431,6.1339,0.5782,0.1857,0.2152,0.0484,1.0,0.0409,0.209,0.5782,0.0,0.2201,0.0,91.2462
cerisy,A,d30f36a544,12,291.8,49.210813,-0.855479,49.212996,-0.857722,-10.0753,-2.2119,0.0,1.0,0.2674,1.0,0.784,1.0,0.107,0.0,0.0,0.784,0.0,91.2462
cerisy,A,d30f36a544,13,624.9,49.212996,-0.857722,49.20741,-0.85879,-5.9436,-0.2394,0.1684,0.3125,0.2883,0.7386,1.0,0.2686,0.1605,0.1684,0.0,0.8594,0.0,91.2462
cerisy,B-open,ae2bc4a7a0,0,914.2,49.20741,-0.85879,49.201701,-0.867876,-5.8368,-5.3496,0.0123,1.0,0.0487,0.9765,0.6012,0.9882,0.0202,0.0123,0.0,0.5941,0.0,93.1891
cerisy,B-open,ae2bc4a7a0,1,480.9,49.201701,-0.867876,49.206031,-0.867619,6.5582,1.6141,0.5,1.0,0.0,0.0,0.0176,0.0,0.0,0.5,0.0,0.0,0.0,93.1891
