map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
grochot,A,7f74210153,0,307.1,44.808194,-1.221898,44.806729,-1.21859,3.838,4.2695,0.5695,0.0,0.1416,0.0022,1.0,0.0,0.1414,0.5695,0.0,0.0473,0.0,91.2333
grochot,A,7f74210153,1,447.2,44.806729,-1.21859,44.810629,-1.220018,0.5632,-5.2304,0.1942,0.0,0.0256,0.6212,1.0,0.0,0.0161,0.1942,0.0,0.7882,0.0,91.2333
grochot,A,7f74210153,2,351.2,44.810629,-1.220018,44.810747,-1.224475,-7.4766,-0.2663,0.1047,0.2661,0.3591,0.846,1.0,0.2448,0.1768,0.1047,0.0,0.9198,0.0,91.2333
grochot,A,7f74210153,3,363.6,44.810747,-1.224475,44.80751,-1.223771,-8.4487,-4.5115,0.0,0.7386,0.1817,1.0,1.0,0.7386,0.0727,0.0,0.0,1.0,0.0,91.2333
grochot,A,7f74210153,4,551.9,44.80751,-1.223771,44.811674,-1.219941,-4.1937,-1.4037,0.2602,1.0,0.0813,0.5188,1.0,0.7202,0.056,0.2602,0.0,0.7202,0.0,91.2333
grochot,A,7f74210153,5,347.4,44.811674,-1.219941,44.808575,-1.220556,4.9976,2.4591,0.5391,0.0668,0.0783,0.0,1.0,0.0,0.0783,0.5391,0.0,0.0,0.0,91.2333
grochot,A,7f74210153,6,308.9,44.808575,-1.220556,44.808875,-1.224456,-4.9368,5.1596,0.3915,0.4199,0.3354,0.4137,1.0,0.2701,0.2521,0.3915,0.0,0.6432,0.0,91.2333
grochot,A,7f74210153,7,335.9,44.808875,-1.224456,44.811552,-1.222465,-0.6598,2.3934,0.4504,0.801,0.1157,0.1926,1.0,0.3515,0.1024,0.4504,0.0,0.4388,0.0,91.2333
grochot,A,7f74210153,8,330.7,44.811552,-1.222465,44.81184,-1.226646,-1.5338,2.7389,0.4015,0.1903,0.2237,0.3438,1.0,0.1116,0.1776,0.4015,0.0,0.5863,0.0,91.2333
grochot,A,7f74210153,9,441.8,44.81184,-1.226646,44.808095,-1.228546,3.1559,2.9581,0.5293,0.1114,0.1194,0.0543,1.0,0.026,0.1155,0.5293,0.0,0.233,0.0,91.2333
grochot,A,7f74210153,10,489.8,44.808095,-1.228546,44.812271,-1.230557,-3.0307,1.1622,0.3341,0.5439,0.1804,0.4339,1.0,0.3583,0.1334,0.3341,0.0,0.6587,0.0,91.2333
grochot,A,7f74210153,11,146.1,44.812271,-1.230557,44.811538,-1.232098,5.8131,0.069,0.4998,0.0,0.0181,0.0181,1.0,0.0,0.0179,0.4998,0.0,0.1345,0.0,91.2333
grochot,A,7f74210153,12,81.6,44.811538,-1.232098,44.812273,-1.232098,17.7865,-143.5768,0.0021,0.0,0.0,0.9975,0.2826,0.0,0.0,0.0012,0.3582,0.2823,0.0009,91.2333
grochot,A,7f74210153,13,922.1,44.812273,-1.232098,44.808194,-1.221898,2.363,2.6265,0.5124,0.5443,0.0882,0.0583,1.0,0.1314,0.0851,0.5124,0.0,0.2414,0.0,91.2333
grochot,B-open,8036eec02c,0,398.3,44.808194,-1.221898,44.809382,-1.217125,-3.3981,-0.2786,0.2703,0.4629,0.1733,0.5393,1.0,0.34,0.1172,0.2703,0.0,0.7344,0.0,92.1239
grochot,B-open,8036eec02c,1,340.2,44.809382,-1.217125,44.806348,-1.217734,-2.7341,-4.5938,0.0995,0.0,0.1458,0.8263,1.0,0.0,0.0735,0.0995,0.0,0.909,0.0,92.1239
grochot,B-open,8036eec02c,2,391.5,44.806348,-1.217734,44.809714,-1.219217,-0.8281,3.1545,0.4225,0.0,0.2393,0.3182,1.0,0.0,0.1936,0.4225,0.0,0.5641,0.0,92.1239
grochot,B-open,8036eec02c,3,331.0,44.809714,-1.219217,44.806879,-1.217912,-0.236,2.3656,0.4154,0.0,0.2075,0.312,1.0,0.0,0.1687,0.4154,0.0,0.5586,0.0,92.1239
grochot,B-open,8036eec02c,4,500.8,44.806879,-1.217912,44.802755,-1.220492,-0.5146,1.9779,0.412,0.2441,0.1729,0.2975,1.0,0.1332,0.142,0.412,0.0,0.5455,0.0,92.1239
grochot,B-open,8036eec02c,5,1085.3,44.802755,-1.220492,44.81253,-1.220175,0.4166,5.4728,0.5544,1.0,0.1457,0.0322,1.0,0.1795,0.1428,0.5544,0.0,0.1795,0.0,92.1239
grochot,B-open,8036eec02c,6,586.3,44.81253,-1.220175,44.810634,-1.213226,2.3983,-4.281,0.2837,0.0,0.0,0.4327,1.0,0.0,0.0,0.2837,0.0,0.6578,0.0,92.1239
grochot,B-open,8036eec02c,7,524.5,44.810634,-1.213226,44.815234,-1.211698,6.6025,-0.1396,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,92.1239
grochot,B-open,8036eec02c,8,309.0,44.815234,-1.211698,44.813963,-1.215189,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,92.1239
grochot,B-open,8036eec02c,9,321.4,44.813963,-1.215189,44.812463,-1.211698,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,92.1239
grochot,B-open,8036eec02c,10,648.9,44.812463,-1.211698,44.808069,-1.217134,6.4122,-0.008,0.5,0.0839,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,92.1239
grochot,B-open,8036eec02c,11,372.0,44.808069,-1.217134,44.809473,-1.212845,-0.5237,-4.3573,0.1857,0.0,0.0783,0.6556,1.0,0.0,0.0475,0.1857,0.0,0.8097,0.0,92.1239
grochot,B-open,8036eec02c,12,182.0,44.809473,-1.212845,44.810897,-1.211698,0.8782,-5.9108,0.183,0.0,0.0,0.6341,1.0,0.0,0.0,0.183,0.0,0.7963,0.0,92.1239
grochot,B-open,8036eec02c,13,857.4,44.810897,-1.211698,44.808194,-1.221898,4.2439,3.5656,0.5545,0.1473,0.109,0.0,1.0,0.0,0.109,0.5545,0.0,0.0,0.0,92.1239
grochot,B-handrail,fa3385ccbb,0,376.2,44.808194,-1.221898,44.806026,-1.218226,3.7842,3.3239,0.548,0.1985,0.1071,0.01,1.0,0.0199,0.1065,0.548,0.0,0.1002,0.0,94.5283
grochot,B-handrail,fa3385ccbb,1,418.8,44.806026,-1.218226,44.809738,-1.21918,2.3427,0.228,0.4243,0.0,0.0973,0.2266,1.0,0.0,0.0841,0.4243,0.0,0.476,0.0,94.5283
grochot,B-handrail,fa3385ccbb,2,421.4,44.809738,-1.21918,44.807104,-1.223034,1.611,6.1036,0.5734,1.0,0.1467,0.0,1.0,0.0,0.1467,0.5734,0.0,0.0,0.0,94.5283
grochot,B-handrail,fa3385ccbb,3,246.6,44.807104,-1.223034,44.809285,-1.223635,-9.0365,-4.4549,0.0183,1.0,0.1408,0.9679,1.0,0.9838,0.059,0.0183,0.0,0.9838,0.0,94.5283
grochot,B-handrail,fa3385ccbb,4,425.2,44.809285,-1.223635,44.805862,-1.226058,-7.2379,-1.4771,0.1667,1.0,0.1622,0.7132,1.0,0.8445,0.0928,0.1667,0.0,0.8445,0.0,94.5283
grochot,B-handrail,fa3385ccbb,5,521.0,44.805862,-1.226058,44.803169,-1.22064,-1.8776,6.6803,0.5369,0.6202,0.2513,0.1419,1.0,0.2336,0.2299,0.5369,0.0,0.3767,0.0,94.5283
grochot,B-handrail,fa3385ccbb,6,364.4,44.803169,-1.22064,44.800112,-1.218951,1.5405,1.5952,0.465,0.4376,0.0926,0.1488,1.0,0.1688,0.0843,0.465,0.0,0.3857,0.0,94.5283
grochot,B-handrail,fa3385ccbb,7,223.6,44.800112,-1.218951,44.798735,-1.221024,2.7008,-1.1532,0.406,0.2591,0.0292,0.2111,1.0,0.1191,0.0255,0.406,0.0,0.4595,0.0,94.5283
grochot,B-handrail,fa3385ccbb,8,429.4,44.798735,-1.221024,44.801402,-1.224973,-7.3999,-4.4228,0.0473,0.7943,0.1332,0.9165,1.0,0.7605,0.06,0.0473,0.0,0.9574,0.0,94.5283
