map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
llose,A,03a24dc00d,0,411.9,42.553532,2.142247,42.554719,2.147021,-1.5751,-6.6331,0.0972,0.1687,0.0198,0.8094,1.0,0.1518,0.0102,0.0972,0.0,0.8997,0.0,89.8937
llose,A,03a24dc00d,1,390.2,42.554719,2.147021,42.551313,2.145843,-2.3227,-7.8879,0.0077,0.0,0.046,0.9853,1.0,0.0,0.0188,0.0077,0.0,0.9926,0.0,89.8937
llose,A,03a24dc00d,2,421.7,42.551313,2.145843,42.555052,2.144929,-1.7588,-8.787,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,89.8937
llose,A,03a24dc00d,3,332.3,42.555052,2.144929,42.552217,2.146233,2.3661,-3.4568,0.3088,0.0,0.0195,0.3943,1.0,0.0,0.0149,0.3088,0.0,0.6279,0.0,89.8937
llose,A,03a24dc00d,4,504.0,42.552217,2.146233,42.548093,2.143654,-1.926,-7.5493,0.0431,0.0708,0.0258,0.916,1.0,0.0678,0.0116,0.0431,0.0,0.9571,0.0,89.8937
llose,A,03a24dc00d,5,526.2,42.548093,2.143654,42.550691,2.138273,-0.2356,-2.8514,0.2446,0.0,0.1038,0.5568,1.0,0.0,0.0691,0.2446,0.0,0.7462,0.0,89.8937
llose,A,03a24dc00d,6,377.7,42.550691,2.138273,42.554094,2.138238,-7.6879,-5.8029,0.0006,0.8273,0.0959,0.9989,1.0,0.8268,0.0384,0.0006,0.0,0.9995,0.0,89.8937
llose,A,03a24dc00d,7,418.9,42.554094,2.138238,42.556889,2.14168,3.634,1.0195,0.4916,0.3894,0.0443,0.0586,1.0,0.0943,0.0428,0.4916,0.0,0.2421,0.0,89.8937
llose,A,03a24dc00d,8,266.9,42.556889,2.14168,42.558034,2.13881,2.444,6.0104,0.5919,0.1784,0.1893,0.0046,1.0,0.0121,0.1888,0.5919,0.0,0.0676,0.0,89.8937
llose,A,03a24dc00d,9,574.3,42.558034,2.13881,42.553433,2.135599,-4.1744,-6.3251,0.0177,0.1913,0.1096,0.9681,1.0,0.1882,0.0459,0.0177,0.0,0.9839,0.0,89.8937
llose,A,03a24dc00d,10,463.1,42.553433,2.135599,42.556995,2.132651,2.3568,2.3819,0.4958,0.1237,0.1245,0.1182,1.0,0.0425,0.1157,0.4958,0.0,0.3438,0.0,89.8937
llose,A,03a24dc00d,11,216.2,42.556995,2.132651,42.556876,2.130012,3.6468,4.9326,0.5796,0.0,0.1592,0.0,1.0,0.0,0.1592,0.5796,0.0,0.0,0.0,89.8937
llose,A,03a24dc00d,12,81.6,42.556876,2.130012,42.557611,2.130012,2.1412,-7.2108,0.0004,0.0,0.0,0.9996,0.1994,0.0,0.0,0.0002,0.0,0.1993,0.0002,89.8937
llose,A,03a24dc00d,13,1098.2,42.557611,2.130012,42.553532,2.142247,1.7352,7.038,0.6002,0.5059,0.2003,0.0,1.0,0.0,0.2003,0.6002,0.0,0.0,0.0,89.8937
llose,B-open,3f388e1f75,0,258.9,42.553532,2.142247,42.551243,2.141639,1.7911,0.5711,0.4192,0.0,0.118,0.2501,1.0,0.0,0.1003,0.4192,0.0,0.5001,0.0,89.8919
llose,B-open,3f388e1f75,1,239.1,42.551243,2.141639,42.549522,2.143396,1.9396,-2.9682,0.3112,0.0,0.0411,0.4023,1.0,0.0,0.0312,0.3112,0.0,0.6342,0.0,89.8919
llose,B-open,3f388e1f75,2,438.6,42.549522,2.143396,42.550691,2.138273,1.1393,0.849,0.4087,0.0,0.1405,0.2833,1.0,0.0,0.1166,0.4087,0.0,0.5323,0.0,89.8919
llose,B-open,3f388e1f75,3,385.1,42.550691,2.138273,42.554161,2.138341,-7.9858,-5.3401,0.0006,0.8029,0.1257,0.999,1.0,0.8025,0.0503,0.0006,0.0,0.9995,0.0,89.8919
llose,B-open,3f388e1f75,4,393.8,42.554161,2.138341,42.556805,2.141551,4.4924,-0.5027,0.4671,0.3432,0.0,0.0658,1.0,0.0881,0.0,0.4671,0.0,0.2565,0.0,89.8919
llose,B-open,3f388e1f75,5,408.0,42.556805,2.141551,42.55657,2.136571,3.5283,2.7706,0.5308,0.0723,0.1116,0.0449,1.0,0.0153,0.1086,0.5308,0.0,0.2118,0.0,89.8919
llose,B-open,3f388e1f75,6,357.2,42.55657,2.136571,42.553433,2.135599,-0.9374,3.1267,0.4259,0.1039,0.2265,0.3054,1.0,0.0574,0.185,0.4259,0.0,0.5526,0.0,89.8919
llose,B-open,3f388e1f75,7,491.8,42.553433,2.135599,42.557608,2.133589,3.3882,4.6969,0.573,0.1303,0.1487,0.0023,1.0,0.0063,0.1485,0.573,0.0,0.0482,0.0,89.8919
llose,B-open,3f388e1f75,8,303.5,42.557608,2.133589,42.556876,2.130012,3.697,4.0904,0.5631,0.1457,0.1292,0.0027,1.0,0.0076,0.129,0.5631,0.0,0.0524,0.0,89.8919
llose,B-open,3f388e1f75,9,81.6,42.556876,2.130012,42.557611,2.130012,2.1412,-7.2108,0.0004,0.0,0.0,0.9996,0.1994,0.0,0.0,0.0002,0.0,0.1993,0.0002,89.8919
llose,B-open,3f388e1f75,10,972.4,42.557611,2.130012,42.55176,2.138863,2.4281,5.6163,0.5754,0.6061,0.1508,0.0,1.0,0.0,0.1508,0.5754,0.0,0.0,0.0,89.8919
