map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
montmirel,A,a224b8f6a4,0,300.2,48.531326,0.295425,48.528644,0.2949,1.9107,1.6372,0.475,0.4493,0.0846,0.1242,1.0,0.1583,0.0783,0.475,0.0,0.3524,0.0,89.275
montmirel,A,a224b8f6a4,1,258.8,48.528644,0.2949,48.527332,0.297809,3.4396,2.2546,0.625,0.6572,0.0818,0.1284,0.5286,0.2355,0.0755,0.4714,0.0,0.1894,0.1536,89.275
montmirel,A,a224b8f6a4,2,359.7,48.527332,0.297809,48.529024,0.301982,-14.216,6.512,0.0,1.0,0.7255,1.0,0.2743,1.0,0.2902,0.0,0.0,0.2743,0.0,89.275
montmirel,A,a224b8f6a4,3,313.5,48.529024,0.301982,48.531147,0.299168,-3.8383,-0.4549,0.1832,0.6815,0.2109,0.7638,0.3904,0.5956,0.1143,0.143,0.0,0.3412,0.0402,89.275
montmirel,A,a224b8f6a4,4,924.8,48.531147,0.299168,48.522816,0.299365,-9.8381,-4.1107,0.0009,1.0,0.1791,0.9985,1.0,0.9993,0.0718,0.0009,0.0,0.9993,0.0,89.275
montmirel,A,a224b8f6a4,5,477.4,48.522816,0.299365,48.524353,0.2933,-3.4055,-5.4165,0.0183,1.0,0.0012,0.9635,0.2622,0.9816,0.0005,0.0183,0.0,0.2574,0.0,89.275
montmirel,A,a224b8f6a4,6,355.2,48.524353,0.2933,48.523049,0.288888,10.8076,0.1095,0.9527,0.0,0.0,0.0,0.0946,0.0,0.0,0.5,0.0,0.0,0.4527,89.275
montmirel,A,a224b8f6a4,7,323.9,48.523049,0.288888,48.525829,0.290222,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,89.275
montmirel,A,a224b8f6a4,8,539.4,48.525829,0.290222,48.53068,0.289791,4.2886,2.1054,0.5169,0.743,0.0339,0.0,1.0,0.0,0.0339,0.5169,0.0,0.0,0.0,89.275
montmirel,A,a224b8f6a4,9,527.9,48.53068,0.289791,48.529322,0.296672,1.1865,6.6791,0.5827,1.0,0.1655,0.0002,1.0,0.0128,0.1655,0.5827,0.0,0.0128,0.0,89.275
montmirel,A,a224b8f6a4,10,404.9,48.529322,0.296672,48.532584,0.299137,-6.0278,-3.9378,0.1314,1.0,0.0623,0.7526,1.0,0.8675,0.0342,0.1314,0.0,0.8675,0.0,89.275
montmirel,A,a224b8f6a4,11,305.1,48.532584,0.299137,48.531691,0.303062,-5.507,-3.1742,0.0762,0.9685,0.1143,0.8671,0.5465,0.9018,0.0549,0.0741,0.0,0.5089,0.0021,89.275
montmirel,A,a224b8f6a4,12,407.9,48.531691,0.303062,48.528301,0.305201,-11.6663,2.1639,0.006,1.0,0.4842,0.9919,0.4769,0.996,0.196,0.006,0.0,0.4749,0.0,89.275
montmirel,A,a224b8f6a4,13,793.2,48.528301,0.305201,48.531326,0.295425,2.5725,4.123,0.5427,1.0,0.0862,0.0007,1.0,0.0271,0.0862,0.5427,0.0,0.0271,0.0,89.275
