map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
steanne,A,5b259d7714,0,418.8,49.055127,-0.445756,49.051704,-0.448179,2.2223,6.1333,0.5884,0.424,0.1778,0.0008,1.0,0.0121,0.1777,0.5884,0.0,0.0285,0.0,87.9
steanne,A,5b259d7714,1,258.0,49.051704,-0.448179,49.050586,-0.445069,-0.3959,-5.8405,0.0,0.452,0.0286,1.0,0.1239,0.452,0.0115,0.0,0.0,0.1239,0.0,87.9
steanne,A,5b259d7714,2,196.2,49.050586,-0.445069,49.052289,-0.445791,-2.229,23.2005,1.4808,0.095,0.7197,0.0,0.2087,0.0,0.7197,0.8598,0.0,0.0,0.6209,87.9
steanne,A,5b259d7714,3,215.3,49.052289,-0.445791,49.053332,-0.443296,-1.5471,-1.866,0.2683,0.3524,0.1038,0.5139,1.0,0.2526,0.0718,0.2683,0.0,0.7169,0.0,87.9
steanne,A,5b259d7714,4,623.8,49.053332,-0.443296,49.058952,-0.44326,-6.0842,-2.349,0.1765,1.0,0.1065,0.681,1.0,0.8252,0.063,0.1765,0.0,0.8252,0.0,87.9
steanne,A,5b259d7714,5,804.7,49.058952,-0.44326,49.05229,-0.4389,-9.8885,-1.3595,0.0828,1.0,0.2526,0.8677,1.0,0.9315,0.1211,0.0828,0.0,0.9315,0.0,87.9
steanne,A,5b259d7714,6,94.1,49.05229,-0.4389,49.053096,-0.438501,9.619,0.3103,0.8631,0.0,0.0118,0.0109,0.273,0.0,0.0118,0.5004,0.0,0.0285,0.3626,87.9
steanne,A,5b259d7714,7,400.8,49.053096,-0.438501,49.056681,-0.43915,-7.3707,-6.3014,0.0015,0.8609,0.0621,0.9972,1.0,0.8596,0.025,0.0015,0.0,0.9986,0.0,87.9
steanne,A,5b259d7714,8,833.3,49.056681,-0.43915,49.051287,-0.447118,0.7661,7.7818,0.6021,0.9017,0.2042,0.0,1.0,0.0,0.2042,0.6021,0.0,0.0,0.0,87.9
steanne,A,5b259d7714,9,427.5,49.051287,-0.447118,49.05185,-0.452932,-3.8801,-1.0485,0.0868,0.721,0.2183,0.8853,0.1362,0.6784,0.1023,0.0698,0.0,0.1281,0.017,87.9
steanne,A,5b259d7714,10,515.0,49.05185,-0.452932,49.056462,-0.453704,5.7738,1.5485,0.5,1.0,0.0,0.0,0.3643,0.0,0.0,0.5,0.0,0.0,0.0,87.9
steanne,A,5b259d7714,11,545.7,49.056462,-0.453704,49.053421,-0.447809,3.557,6.3306,0.7351,0.7088,0.165,0.0,0.6031,0.0,0.165,0.5825,0.0,0.0,0.1526,87.9
steanne,A,5b259d7714,12,473.7,49.053421,-0.447809,49.057386,-0.450215,-5.8376,-2.8762,0.0926,0.3648,0.2155,0.8476,1.0,0.3358,0.1059,0.0926,0.0,0.9206,0.0,87.9
steanne,A,5b259d7714,13,410.0,49.057386,-0.450215,49.055127,-0.445756,-0.2004,0.0959,0.3928,0.732,0.063,0.2609,1.0,0.3739,0.0531,0.3928,0.0,0.5108,0.0,87.9
steanne,B-open,500315b98e,0,273.0,49.055127,-0.445756,49.053071,-0.443696,4.1214,2.4334,0.5274,0.5455,0.0566,0.0018,1.0,0.0229,0.0566,0.5274,0.0,0.042,0.0,89.6205
steanne,B-open,500315b98e,1,653.6,49.053071,-0.443696,49.058952,-0.44326,-6.0747,-0.47,0.2329,1.0,0.1532,0.5961,1.0,0.7721,0.0984,0.2329,0.0,0.7721,0.0,89.6205
steanne,B-open,500315b98e,2,804.7,49.058952,-0.44326,49.05229,-0.4389,-9.8885,-1.3595,0.0828,1.0,0.2526,0.8677,1.0,0.9315,0.1211,0.0828,0.0,0.9315,0.0,89.6205
steanne,B-open,500315b98e,3,932.7,49.05229,-0.4389,49.046987,-0.448844,3.3262,3.7755,0.5433,0.735,0.0867,0.0,1.0,0.0,0.0867,0.5433,0.0,0.0,0.0,89.6205
steanne,B-open,500315b98e,4,532.9,49.046987,-0.448844,49.043608,-0.443639,6.6025,-0.1396,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,89.6205
steanne,B-open,500315b98e,5,245.3,49.043608,-0.443639,49.045796,-0.444116,9.6684,0.042,0.8301,0.0,0.0,0.0,0.3399,0.0,0.0,0.5,0.0,0.0,0.3301,89.6205
steanne,B-open,500315b98e,6,478.9,49.045796,-0.444116,49.046179,-0.450672,9.7057,0.2692,0.8663,0.1321,0.0,0.0,0.2674,0.0,0.0,0.5,0.0,0.0,0.3663,89.6205
steanne,B-open,500315b98e,7,560.0,49.046179,-0.450672,49.051182,-0.449687,3.7083,9.4163,0.8818,0.5548,0.2657,0.0,0.0668,0.0,0.2657,0.6328,0.0,0.0,0.2489,89.6205
steanne,B-open,500315b98e,8,200.1,49.051182,-0.449687,49.052797,-0.450906,0.9351,-2.1213,0.2276,1.0,0.0,0.5448,0.033,0.7381,0.0,0.2276,0.0,0.0244,0.0,89.6205
steanne,B-open,500315b98e,9,181.1,49.052797,-0.450906,49.05185,-0.452932,-1.909,4.8687,0.3813,0.0,0.4765,0.7411,0.0039,0.0,0.2646,0.1911,0.0,0.0034,0.1901,89.6205
steanne,B-open,500315b98e,10,481.9,49.05185,-0.452932,49.056105,-0.454251,5.7796,1.5489,0.5,1.0,0.0,0.0,0.3617,0.0,0.0,0.5,0.0,0.0,0.0,89.6205
steanne,B-open,500315b98e,11,555.3,49.056105,-0.454251,49.053421,-0.447809,3.9167,6.2099,0.7403,0.6956,0.1612,0.0,0.5031,0.0,0.1612,0.5806,0.0,0.0,0.1596,89.6205
